id,label,PAAC5,PAAC15,PAAC10,PAAC4,PAAC12,PAAC19,PAAC3,PAAC22,PAAC14,PAAC2,PAAC16,PAAC25,PAAC26,PAAC21,PAAC6,PAAC30,PAAC20,PAAC7,PAAC11,PAAC27,PAAC13
Negative_1223,0,4.873,3.655,3.655,1.827,4.264,1.219,3.046,4.675,1.219,0.609,2.436,4.386,3.564,4.166,3.046,4.14,4.264,1.219,6.701,4.618,1.219
Positive_116,1,0.518,2.244,2.935,2.071,3.625,0.69,1.899,4.767,1.726,1.381,2.935,4.462,4.521,4.651,3.452,4.589,5.869,2.417,5.697,4.368,0.69
Negative_259,0,1.416,5.163,1.666,1.582,2.415,1.416,0.916,4.979,0.833,3.498,3.831,4.721,4.813,4.606,4.331,4.855,1.915,3.081,7.162,4.501,0.916
Negative_314,0,2.703,4.054,3.378,0.338,1.351,2.027,1.351,4.597,2.027,2.365,8.108,4.535,4.7,4.257,2.365,4.511,1.351,3.04,3.378,4.581,1.351
Positive_571,1,0.791,2.768,4.745,3.954,3.558,0.791,0.791,5.485,1.582,1.977,2.372,5.017,5.632,4.279,2.372,4.939,3.558,1.977,3.558,5.644,1.582
Negative_564,0,19.791,8.276,0.72,1.26,1.439,0.18,0.0,3.153,0.0,1.079,15.473,2.637,2.915,2.615,0.9,2.392,6.657,6.478,1.799,3.092,0.18
Negative_297,0,2.605,3.197,2.368,2.605,2.723,2.132,1.776,4.927,1.895,3.197,4.736,4.585,4.71,4.504,3.552,5.084,2.723,3.079,5.802,4.637,0.474
Positive_838,1,0.128,1.789,2.172,2.684,3.323,1.022,2.172,4.846,2.939,1.917,3.195,4.833,4.756,5.117,2.428,4.922,3.706,2.172,4.856,4.807,1.533
Positive_147,1,0.875,2.431,2.431,2.723,2.82,1.653,2.042,5.342,2.431,2.431,2.237,5.198,4.985,4.992,2.625,5.103,4.473,2.528,3.598,4.834,0.972
Negative_397,0,0.971,2.913,0.971,2.306,2.791,1.092,0.607,4.589,0.728,3.519,4.004,4.797,5.064,4.984,4.854,5.033,2.427,2.063,6.432,4.933,0.971
Positive_414,1,0.905,2.444,2.896,2.534,2.625,1.267,1.539,5.11,1.811,2.263,2.987,5.001,4.831,4.815,3.439,4.696,3.983,1.811,4.978,4.828,1.811
Negative_203,0,1.572,3.145,1.572,1.179,3.931,0.393,2.752,5.555,1.572,5.503,2.359,4.961,5.483,5.172,3.538,5.531,1.179,1.965,5.11,5.555,1.965
Negative_935,0,0.155,5.309,0.581,2.209,6.51,0.155,0.775,4.045,0.116,1.937,7.866,4.31,4.333,4.207,5.426,4.478,3.294,3.178,2.403,4.218,0.543
Negative_600,0,2.094,3.84,1.222,3.317,1.047,1.047,2.618,4.414,1.222,2.618,5.062,4.85,4.56,4.776,2.618,4.661,3.142,2.444,7.68,4.962,0.524
Positive_566,1,0.923,2.307,1.846,2.768,1.73,1.846,2.538,5.168,2.653,2.538,2.999,4.93,4.958,4.914,4.383,4.968,3.806,2.422,3.806,4.796,2.076
Negative_1282,0,0.752,4.511,2.256,1.88,0.376,1.128,0.752,5.139,2.256,4.887,3.008,4.962,5.27,5.7,3.383,5.105,4.135,3.383,4.887,4.617,0.752
Positive_725,1,0.551,1.654,2.205,2.665,2.113,1.838,1.287,5.068,2.297,3.308,3.768,4.942,5.213,5.021,3.676,5.096,3.492,1.47,4.871,4.939,1.287
Positive_496,1,1.024,1.603,3.697,2.316,2.984,1.826,2.672,4.966,2.494,2.182,3.474,4.821,4.826,4.777,3.162,4.819,3.697,2.182,5.656,4.912,1.114
Negative_194,0,1.187,7.355,1.187,1.898,0.474,0.949,0.712,4.03,1.898,2.61,4.034,4.056,4.053,4.333,2.61,4.278,2.847,3.321,9.964,3.919,0.949
Positive_469,1,1.845,1.691,4.919,1.076,2.306,2.767,2.306,4.654,4.766,2.306,3.382,4.616,4.635,4.388,1.537,4.962,4.305,2.459,6.61,4.74,1.23
Negative_497,0,1.693,3.63,3.527,2.492,2.464,1.542,2.878,4.563,1.1,2.342,4.138,4.857,4.491,4.696,2.925,4.788,4.298,2.172,4.044,4.717,0.686
Negative_469,0,1.73,3.194,3.061,1.464,1.198,1.464,1.464,4.624,2.129,2.529,4.525,4.686,4.807,4.352,2.129,4.479,2.795,1.597,7.32,4.68,1.73
Negative_366,0,1.261,4.012,1.949,2.98,1.949,1.49,1.376,4.868,2.522,2.407,4.126,4.494,4.564,4.674,2.865,4.639,4.012,2.98,6.419,4.674,0.803
Negative_1097,0,1.344,3.84,2.496,1.536,0.96,1.152,1.728,4.656,2.496,3.072,4.8,4.733,4.542,4.332,1.344,4.84,4.224,1.344,6.144,4.938,0.96
Negative_455,0,2.176,3.166,3.76,2.77,2.968,2.968,3.76,4.653,2.176,2.176,3.958,5.134,4.7,4.879,0.99,4.584,4.353,1.583,3.562,4.845,0.792
Positive_488,1,0.774,3.578,2.127,2.514,2.224,1.837,1.837,4.893,2.611,2.321,4.255,4.755,4.963,4.805,2.031,4.859,3.094,2.031,5.802,4.932,1.064
Positive_783,1,0.832,2.556,2.556,2.772,3.48,1.756,1.878,4.834,1.848,2.525,3.326,5.055,4.903,4.773,3.788,4.76,4.465,2.772,4.896,4.86,1.109
Positive_1116,1,0.659,4.612,2.965,3.377,3.212,2.224,2.059,5.089,2.965,2.718,2.141,5.127,4.822,4.799,1.977,5.087,2.965,1.647,3.212,4.567,1.235
Negative_908,0,0.909,1.818,3.03,2.121,1.515,2.424,1.515,4.615,1.818,2.424,5.757,5.147,4.542,4.689,2.727,4.974,4.242,2.121,5.151,4.906,0.909
Negative_968,0,0.939,4.85,1.252,1.565,2.347,1.408,2.503,4.047,2.19,1.408,4.381,4.468,4.205,4.01,2.347,4.352,3.912,2.503,6.258,4.764,1.095
Negative_488,0,1.631,3.263,3.058,1.835,3.466,1.835,1.835,4.904,1.631,1.428,4.69,4.442,4.593,4.612,4.282,4.134,2.447,2.243,6.525,5.066,0.408
Positive_75,1,1.738,2.962,3.219,1.996,1.416,2.382,2.575,4.624,3.09,2.382,4.185,4.837,4.697,4.448,2.382,4.51,4.571,2.446,6.309,4.591,1.545
Negative_1272,0,1.349,3.764,1.192,2.039,0.753,1.255,1.568,4.278,1.255,3.136,4.83,4.776,4.513,4.854,2.604,4.65,4.171,2.509,6.838,4.696,0.533
Positive_624,1,0.819,1.365,1.774,2.457,3.686,1.092,2.32,5.307,3.822,2.047,3.822,4.863,5.171,4.956,4.778,4.712,3.276,1.774,4.914,5.323,2.73
Positive_240,1,1.291,2.905,1.937,2.824,1.735,2.138,1.614,5.178,2.421,3.711,4.115,4.908,5.196,4.865,2.663,4.963,5.083,1.573,3.792,4.855,0.928
Negative_603,0,3.674,2.579,2.792,4.523,1.831,1.843,3.283,4.899,1.909,2.736,3.785,4.764,4.73,4.762,2.758,4.686,2.903,1.843,3.205,4.814,0.782
Positive_601,1,0.521,2.084,2.778,2.778,1.216,0.695,1.216,5.252,0.695,4.341,2.952,4.983,5.239,4.752,2.605,4.921,2.952,2.431,6.251,5.167,1.737
Negative_897,0,1.044,6.341,1.044,2.167,0.481,0.722,0.883,4.449,1.364,3.773,4.013,4.611,4.743,5.063,2.488,4.659,2.408,1.445,7.946,4.861,0.642
Positive_164,1,0.386,4.248,3.09,2.703,2.317,3.476,0.773,5.832,3.476,5.02,0.773,5.437,5.662,4.584,3.476,4.807,0.773,0.386,5.793,5.63,1.159
Negative_1106,0,1.578,2.877,3.619,1.299,1.206,1.485,1.392,5.153,3.341,3.341,2.877,4.949,4.985,4.575,2.228,4.882,4.269,1.299,6.683,4.569,0.835
Positive_77,1,1.776,3.298,3.425,1.142,2.41,1.649,2.791,4.349,3.044,2.918,5.581,4.284,4.533,4.357,2.029,4.759,3.298,1.649,6.723,5.055,2.029
Positive_173,1,0.943,2.727,2.66,2.593,4.982,1.616,2.121,4.978,1.683,1.986,2.996,5.045,4.742,4.983,4.444,4.948,3.602,2.188,4.006,4.869,0.976
Positive_512,1,0.375,2.465,2.626,2.572,2.412,2.144,3.805,4.956,2.25,2.144,4.18,4.951,4.951,4.739,3.269,4.855,3.429,2.144,5.091,4.78,1.018
Negative_746,0,0.946,3.074,1.418,1.498,1.261,1.103,0.867,5.084,2.601,2.601,3.389,4.864,4.941,4.731,4.414,5.02,4.256,1.97,5.832,4.683,0.552
Negative_1249,0,1.515,3.283,2.021,3.283,3.283,0.758,0.758,4.768,1.515,1.768,2.778,5.1,4.781,4.67,2.778,4.812,5.303,1.768,6.314,5.046,1.515
Negative_200,0,1.313,2.626,2.889,2.626,2.889,1.313,1.838,4.937,2.363,1.707,3.939,4.927,4.496,4.57,2.889,4.685,3.545,2.363,5.646,4.39,1.313
Negative_210,0,2.257,1.934,3.869,0.967,1.612,1.29,1.612,4.276,2.257,1.934,4.191,4.567,4.209,4.375,3.224,4.972,3.224,2.579,6.126,4.445,1.612
Negative_684,0,1.204,5.617,1.003,1.605,2.006,1.805,1.605,4.39,1.605,3.41,4.615,4.585,4.683,4.333,2.608,4.718,3.21,2.608,6.62,4.729,0.602
Negative_1042,0,2.271,2.939,2.137,1.202,1.871,2.672,2.004,4.938,2.405,4.008,3.073,5.125,5.142,4.82,1.069,4.953,4.275,1.202,6.145,4.926,0.935
Negative_136,0,1.108,3.545,1.994,2.437,3.324,0.665,2.659,5.075,1.772,3.767,5.54,4.616,4.943,4.887,5.761,4.776,1.772,1.108,6.426,5.191,0.665
Positive_1011,1,0.386,4.052,2.508,3.474,3.859,1.351,1.929,4.771,2.123,1.737,5.789,4.779,4.784,4.608,3.28,4.637,3.666,1.737,4.438,4.831,1.158
Positive_1153,1,1.318,3.252,3.077,2.286,2.373,1.758,1.231,4.902,2.109,2.373,5.538,4.634,4.978,4.552,4.483,5.062,3.692,2.461,5.626,4.71,0.527
Negative_609,0,1.432,4.176,1.193,3.102,0.716,3.938,2.029,4.595,1.074,4.415,3.46,5.217,4.956,5.073,1.551,5.259,2.386,2.863,3.102,5.003,0.597
Positive_742,1,0.606,3.331,3.331,3.936,3.331,2.12,2.725,4.872,3.331,1.817,2.12,4.235,5.008,4.652,3.331,5.021,2.725,1.211,2.725,4.998,2.12
Negative_231,0,0.97,3.637,3.88,2.183,0.97,1.455,0.242,4.231,4.607,2.183,3.88,4.54,4.813,4.318,1.697,5.143,2.91,2.425,6.062,4.688,0.727
Negative_131,0,0.545,4.219,0.953,2.177,1.361,0.68,1.089,5.177,1.089,5.444,3.131,5.005,5.405,5.097,4.355,5.49,1.497,2.177,4.219,5.235,0.953
Negative_820,0,1.574,3.036,1.8,1.8,2.137,1.574,1.35,4.581,2.587,2.587,4.499,4.826,4.612,4.56,1.574,4.852,4.049,1.237,7.197,4.713,1.35
Positive_1098,1,2.131,1.066,4.719,1.218,2.892,1.066,2.283,4.402,3.197,1.979,5.48,4.358,4.522,4.419,1.674,5.001,3.806,1.827,7.459,4.58,1.827
Negative_881,0,1.581,2.371,0.0,0.0,2.371,0.79,1.581,3.366,1.581,0.79,8.695,4.337,4.029,3.798,3.162,3.283,3.162,1.581,15.809,4.245,1.581
Negative_1146,0,1.915,3.351,2.155,2.155,1.795,2.394,1.077,4.974,2.035,2.155,3.711,4.969,4.726,4.475,3.591,5.055,2.873,2.992,6.104,4.749,0.958
Positive_356,1,1.241,2.144,2.144,3.047,1.918,2.257,2.031,5.272,2.144,2.934,3.611,5.154,4.936,5.05,4.062,5.005,3.949,1.918,4.175,4.481,1.016
Positive_941,1,1.582,1.438,5.323,2.158,3.309,1.87,1.582,5.12,2.302,2.877,5.035,4.936,4.934,4.412,2.446,4.72,3.884,1.007,5.898,4.57,1.151
Positive_486,1,0.626,2.127,2.252,2.252,3.378,1.751,2.627,5.057,3.128,1.876,4.254,4.953,4.681,4.997,4.129,4.54,2.877,2.127,5.005,5.099,2.252
Negative_29,0,2.287,4.955,0.381,0.381,1.144,0.0,1.906,4.784,2.287,4.193,6.861,4.89,5.053,4.708,1.906,4.706,1.525,2.668,6.099,4.487,0.762
Positive_589,1,1.813,2.56,2.347,1.813,3.52,1.92,2.027,5.078,2.027,2.667,3.307,4.593,5.096,4.723,4.8,4.855,2.56,3.413,4.907,4.733,2.454
Negative_1185,0,0.0,10.151,0.406,4.061,0.406,0.406,1.624,4.978,2.436,5.278,4.872,4.415,4.853,4.151,2.03,4.714,2.436,6.09,5.278,4.345,0.406
Positive_439,1,0.964,2.651,1.687,3.133,2.892,2.892,1.928,5.048,1.687,1.928,2.41,4.767,5.223,5.195,2.41,4.411,3.374,3.133,7.712,4.816,0.723
Negative_702,0,1.766,4.414,2.354,2.207,3.679,1.324,1.913,4.756,1.324,4.267,3.826,5.075,4.861,4.797,3.09,5.207,2.06,1.766,5.15,4.269,1.324
Positive_229,1,0.837,2.271,2.511,2.271,3.587,0.837,0.598,5.107,1.794,3.108,3.467,5.0,5.255,4.617,2.869,4.982,2.869,2.391,6.695,4.837,1.554
Positive_188,1,0.882,2.293,2.381,2.734,3.44,2.469,1.764,5.381,2.822,2.381,2.646,4.817,5.0,5.027,3.616,4.928,3.263,1.411,5.204,5.264,1.235
Positive_316,1,1.17,2.423,3.091,1.504,1.921,2.172,1.421,4.489,3.593,1.838,4.596,4.602,4.305,4.5,2.256,4.758,4.429,1.421,7.102,4.505,1.671
Positive_1048,1,0.41,4.307,3.487,3.077,1.436,1.538,1.128,4.743,2.667,3.18,4.0,4.856,5.002,4.756,2.872,4.953,4.102,1.846,6.461,4.853,1.026
Positive_972,1,0.684,2.19,2.875,2.053,2.464,1.642,1.095,4.615,2.601,3.012,4.107,4.656,4.654,4.908,3.149,4.858,4.243,2.053,6.434,4.856,0.821
Positive_1050,1,0.944,4.151,6.037,0.755,3.019,1.321,3.019,4.267,2.453,1.51,5.66,4.687,4.626,3.892,5.471,4.626,2.264,2.076,4.717,4.469,2.642
Negative_1313,0,2.1,4.201,4.201,0.0,2.1,3.151,1.05,5.134,6.301,0.0,8.402,3.823,4.126,4.102,4.201,4.482,1.05,2.1,8.402,4.111,1.05
Positive_273,1,1.398,2.367,3.012,2.152,3.55,1.936,2.044,4.566,2.582,2.905,4.626,4.671,4.975,4.529,2.259,4.967,3.335,1.721,5.917,4.946,1.936
Negative_319,0,0.0,4.631,0.926,0.926,1.389,1.389,1.853,4.177,2.316,3.705,4.168,4.854,5.197,5.205,3.242,5.096,4.168,0.463,4.631,4.753,1.853
Negative_900,0,10.845,27.605,0.0,0.0,7.887,2.958,0.0,2.822,0.0,0.0,2.958,3.212,2.424,3.162,1.972,3.148,1.972,11.831,0.0,3.365,0.986
Negative_278,0,2.088,3.671,3.182,2.39,1.598,2.145,2.908,4.56,2.778,2.116,5.24,4.728,4.563,4.87,2.505,4.672,3.052,2.016,3.642,4.827,0.662
Negative_904,0,2.843,13.503,1.777,0.356,7.107,1.421,0.356,4.387,1.421,0.0,2.132,3.558,4.615,4.408,4.619,4.696,5.33,6.041,0.71,4.645,0.356
Negative_1069,0,2.794,4.89,1.746,1.746,1.048,0.698,0.349,4.975,1.746,4.541,6.986,4.754,5.017,5.513,1.746,4.985,2.794,1.048,4.541,5.131,1.746
Negative_1286,0,1.325,5.298,0.883,1.766,2.207,1.325,0.0,5.061,0.883,4.415,1.325,5.538,4.594,5.321,5.298,5.423,1.766,3.09,5.739,5.201,0.883
Negative_705,0,1.344,4.928,1.165,1.792,1.881,0.986,3.315,4.924,2.33,3.225,7.347,4.594,4.671,4.607,2.509,4.164,2.867,2.778,4.928,4.423,1.613
Negative_1020,0,1.369,2.014,1.933,3.222,2.255,1.208,2.578,4.513,1.047,2.417,4.833,4.744,4.827,4.712,2.819,4.757,3.061,2.739,6.203,4.379,0.886
Positive_179,1,0.765,1.912,3.92,2.964,3.155,1.721,2.868,5.391,2.199,2.294,3.346,5.026,4.886,4.842,4.207,5.11,2.773,2.486,4.972,4.712,0.86
Negative_789,0,1.024,3.585,1.536,1.536,1.024,0.512,0.512,5.817,1.024,6.658,2.561,5.543,5.977,5.888,1.024,6.078,1.536,0.512,6.146,4.723,2.049
Negative_1009,0,2.112,4.929,4.929,0.0,2.112,2.816,2.112,4.192,4.224,0.704,1.408,4.428,4.58,4.078,0.704,3.67,5.633,1.408,7.745,4.528,2.112
Positive_140,1,0.809,2.966,1.888,2.427,2.157,1.079,0.27,4.876,2.157,3.236,2.966,5.488,4.917,5.361,3.506,5.361,3.506,1.888,7.82,4.968,0.539
Negative_521,0,1.054,9.138,1.757,1.406,0.703,0.703,1.054,4.896,2.46,4.569,4.217,4.104,4.696,3.972,3.163,4.507,2.812,1.757,5.975,4.762,1.054
Positive_776,1,0.421,1.122,3.366,3.226,2.805,2.104,3.086,5.122,1.543,2.104,2.946,4.973,4.803,4.818,2.665,5.079,3.086,2.244,6.452,4.757,1.262
Positive_766,1,0.584,2.918,2.529,2.626,2.918,2.043,2.724,5.122,2.043,2.14,1.946,5.334,4.696,5.068,3.016,4.997,4.572,2.432,3.016,4.698,2.14
Positive_141,1,0.631,2.426,2.621,3.348,1.553,2.378,2.766,4.951,2.524,2.621,2.621,5.078,4.936,5.268,3.057,4.928,3.397,2.475,3.688,5.013,1.068
Negative_545,0,1.78,3.402,2.334,2.532,1.859,0.87,1.582,4.648,2.175,2.69,5.577,4.932,4.581,4.653,3.045,4.688,3.204,2.413,7.792,4.653,1.147
Negative_575,0,7.132,0.0,0.0,0.793,0.0,11.887,0.793,4.825,1.585,1.585,4.755,4.783,5.272,6.034,0.793,4.191,0.0,0.0,1.585,4.889,0.793
Negative_582,0,1.171,2.854,1.537,1.829,0.805,1.244,1.244,4.814,2.561,3.659,4.098,4.934,5.188,4.809,3.293,4.837,3.512,2.122,5.781,5.005,0.512
Positive_881,1,1.209,2.096,2.741,2.499,2.015,1.774,1.613,4.554,3.225,3.306,4.757,4.849,4.633,4.462,5.24,5.017,3.225,2.096,4.273,4.741,0.968
Negative_535,0,4.278,11.409,0.0,0.0,0.0,0.0,0.0,2.731,1.426,0.0,9.983,2.982,2.72,2.706,0.0,2.731,4.278,5.704,11.409,2.422,4.278
Positive_168,1,0.531,2.3,3.361,2.654,2.919,1.857,1.857,5.17,2.035,3.096,3.273,5.318,5.089,5.114,3.273,5.326,2.919,1.062,3.538,5.077,1.238
Positive_667,1,1.216,2.918,1.459,1.459,3.891,1.702,2.918,4.438,5.106,0.486,2.675,4.547,4.582,4.406,3.405,4.735,4.62,4.134,5.593,4.547,0.73
Negative_232,0,1.759,2.345,2.931,1.465,1.465,2.052,0.879,4.551,4.689,2.931,4.103,4.578,4.487,4.151,3.81,5.074,3.224,1.172,7.913,4.586,1.172
Negative_111,0,0.317,3.327,3.327,0.792,1.426,1.743,1.901,5.025,3.01,2.059,3.803,4.321,4.809,4.329,2.059,4.849,5.07,1.267,5.545,4.809,2.376
Negative_613,0,1.337,4.678,2.339,1.671,0.0,1.671,2.673,3.969,6.014,1.671,4.343,4.113,4.416,4.246,0.668,4.24,4.678,1.337,7.685,3.758,1.671
Negative_1165,0,0.4,6.081,0.24,2.56,1.44,3.36,1.36,4.984,1.2,3.601,4.64,4.761,4.776,5.204,1.2,4.768,1.2,4.721,1.12,4.427,1.68
Positive_1161,1,0.229,4.016,0.803,3.442,2.18,0.803,1.377,5.39,1.492,6.081,2.295,5.449,5.253,5.236,4.819,5.392,2.41,2.41,1.721,5.404,1.033
Negative_1260,0,0.953,3.215,2.381,1.548,1.786,0.714,1.905,4.705,1.667,2.501,4.048,4.756,4.743,4.546,3.572,4.902,4.048,2.024,4.882,4.591,2.024
Positive_489,1,1.05,3.316,2.543,2.764,2.764,1.935,2.819,4.77,2.211,3.095,3.924,4.87,4.821,4.908,3.151,4.936,3.426,3.04,4.145,4.9,1.271
Positive_350,1,0.894,3.508,2.958,2.683,2.82,1.169,1.857,4.837,2.27,2.752,5.366,4.756,4.729,4.703,2.889,4.582,2.752,2.82,4.678,4.703,1.238
Negative_1183,0,7.531,4.393,1.883,3.138,3.347,3.347,1.674,4.861,0.837,4.393,5.858,4.958,5.275,4.919,2.51,4.396,2.51,0.418,5.021,4.623,0.837
Negative_395,0,2.182,3.201,1.164,2.328,1.6,1.164,1.018,5.318,2.619,4.219,4.364,5.0,4.822,4.72,2.182,4.924,3.346,1.891,7.711,5.041,1.018
Positive_1039,1,1.044,0.696,2.436,4.177,4.177,1.044,1.74,5.784,2.088,2.436,0.696,5.819,5.274,5.547,4.525,4.849,4.525,2.436,3.829,5.054,2.088
Positive_746,1,0.655,2.227,2.227,2.489,4.323,2.489,2.358,5.46,2.882,1.965,2.227,5.141,4.822,5.288,4.978,4.986,2.751,0.786,5.895,5.183,0.786
Positive_194,1,0.381,2.762,3.048,3.048,3.334,2.762,1.809,5.112,3.143,2.381,3.524,5.165,5.202,4.78,2.857,4.933,3.429,1.619,4.477,4.85,1.238
Positive_971,1,0.282,2.537,2.396,3.524,2.96,1.832,1.409,5.048,2.396,3.805,3.242,5.384,5.174,5.15,3.383,5.172,3.242,1.973,5.355,5.019,0.987
Negative_454,0,4.892,3.424,0.978,1.468,3.424,3.424,1.957,4.548,2.935,1.957,4.892,4.733,4.279,4.075,1.957,4.429,4.892,2.446,3.914,4.197,1.957
Positive_309,1,1.026,2.331,3.264,2.984,2.238,1.212,1.958,5.119,2.518,3.17,3.077,5.438,4.669,5.041,2.331,5.074,4.662,1.399,3.357,4.596,1.119
Negative_774,0,0.621,4.595,2.484,3.602,2.359,0.745,3.726,4.159,1.242,1.614,4.72,4.139,4.191,3.96,3.974,4.303,3.105,5.34,5.589,4.13,2.236
Negative_752,0,2.969,3.181,1.537,2.545,2.491,1.908,1.961,4.898,1.378,3.181,3.976,4.788,5.088,4.782,2.81,4.757,3.022,1.75,3.605,4.852,0.636
Positive_743,1,1.013,3.472,1.157,1.736,2.314,1.591,1.591,5.374,2.17,2.459,2.604,5.017,5.114,4.615,2.459,4.696,3.327,3.327,6.22,4.982,1.157
Positive_1,1,1.926,2.529,4.575,1.806,2.287,1.204,2.529,4.524,3.251,2.408,5.659,4.698,4.677,4.605,2.047,4.384,4.093,1.084,4.936,4.656,1.084
Positive_237,1,1.053,2.317,2.317,2.422,3.159,2.001,2.106,5.17,1.79,2.527,3.159,4.821,4.931,4.933,3.159,5.045,3.159,1.79,5.37,4.931,1.053
Negative_522,0,1.966,1.529,2.84,3.058,0.874,0.874,3.058,4.994,1.748,2.622,4.369,4.472,4.673,4.504,3.932,4.392,6.336,1.966,5.243,4.964,0.874
Positive_227,1,0.862,3.232,3.448,2.586,1.616,2.263,1.724,4.986,2.155,3.34,3.771,4.875,4.731,4.643,2.371,4.852,4.526,2.371,7.004,4.96,1.077
Positive_1141,1,0.0,2.356,1.736,2.604,2.48,0.992,1.116,5.126,1.488,4.092,2.48,5.17,5.375,5.199,2.728,4.861,4.34,2.108,6.2,4.959,0.744
Negative_717,0,0.528,4.542,0.74,2.113,2.746,0.74,2.957,4.146,4.542,1.162,8.661,4.342,4.042,4.06,1.267,4.036,3.38,4.12,2.535,4.134,0.845
Negative_815,0,1.055,4.101,1.406,1.758,1.055,1.992,0.937,4.768,1.875,3.281,3.281,4.65,5.147,4.827,2.343,5.147,4.101,2.109,6.561,4.824,1.758
Positive_556,1,0.392,2.353,3.007,2.615,2.876,1.961,2.092,5.068,2.876,1.83,3.53,4.981,5.198,5.086,4.314,4.989,3.399,1.046,4.183,4.994,1.046
Positive_370,1,1.984,2.715,2.402,3.028,3.655,1.044,1.149,4.986,1.253,3.237,4.281,4.812,5.199,4.482,4.281,4.94,2.819,3.028,4.908,4.835,1.357
Positive_904,1,1.153,3.354,3.249,2.201,1.153,1.572,2.306,4.744,2.306,3.039,2.935,5.005,4.943,4.702,3.354,4.62,4.926,1.468,6.289,4.671,0.524
Positive_1091,1,0.748,1.871,2.869,3.742,3.368,1.871,0.873,5.319,1.497,2.495,2.495,5.21,5.112,4.927,2.994,5.072,4.366,2.245,4.116,5.341,0.748
Positive_844,1,0.396,5.142,1.088,3.263,1.187,1.384,0.396,5.028,2.967,3.659,1.977,5.185,5.315,5.361,2.076,5.363,2.571,2.076,4.746,4.734,0.495
Positive_629,1,0.774,2.321,2.031,2.805,2.128,1.548,1.644,5.408,2.031,3.869,2.901,5.216,5.057,5.301,2.708,5.189,2.708,2.031,5.416,5.15,1.064
Negative_1057,0,1.873,3.496,1.623,2.996,1.124,0.749,1.623,4.529,2.122,3.121,4.495,5.043,4.558,4.548,3.246,4.685,4.87,1.873,5.744,4.542,0.999
Negative_239,0,2.409,2.81,2.65,2.73,2.891,1.204,1.445,4.991,2.65,2.248,6.504,4.601,4.523,4.71,3.613,4.688,3.613,2.65,4.336,4.858,0.803
Positive_304,1,0.53,1.167,1.909,2.757,2.121,1.06,1.379,5.135,1.591,3.182,3.818,4.997,5.383,5.024,3.182,5.196,3.075,2.545,6.151,4.903,1.591
Positive_621,1,1.217,2.931,3.318,2.931,3.152,2.101,2.488,4.765,2.157,2.046,4.037,4.683,5.002,5.099,3.539,4.992,2.931,1.549,3.429,4.921,1.106
Positive_839,1,0.12,3.317,3.015,2.653,2.05,1.99,1.93,5.413,1.809,3.317,3.196,4.907,4.863,4.977,3.136,5.185,2.894,2.412,4.101,5.059,1.326
Positive_983,1,0.834,2.318,3.43,2.132,3.523,2.318,1.761,5.445,1.576,2.503,2.225,5.108,5.316,4.832,3.708,5.181,3.801,1.483,3.708,5.213,1.205
Negative_956,0,1.083,5.236,4.875,1.805,0.903,4.333,1.264,4.121,3.43,2.167,2.889,4.399,4.332,4.009,1.083,4.685,5.055,1.986,4.333,4.413,1.805
Positive_874,1,0.491,2.739,2.325,2.997,1.964,2.248,2.118,5.148,2.868,2.713,4.16,5.163,5.1,5.217,2.635,5.068,2.739,2.067,4.392,4.884,0.672
Negative_1063,0,1.008,3.325,1.814,2.015,1.612,1.512,1.209,5.226,2.116,3.729,2.519,5.108,4.878,5.163,3.426,4.843,4.132,3.023,5.543,4.998,1.209
Negative_921,0,1.356,1.936,1.743,2.13,1.743,1.162,1.356,4.409,4.648,2.324,4.454,4.98,4.472,4.741,3.098,5.044,3.486,2.905,4.067,4.675,1.549
Positive_1127,1,0.0,1.201,1.921,2.881,4.321,0.48,0.96,5.538,1.44,3.361,2.881,4.915,5.313,5.168,2.881,5.335,5.042,2.401,4.562,5.115,1.201
Positive_360,1,1.052,1.842,2.894,1.93,2.456,2.544,2.018,5.181,1.842,3.421,2.544,5.134,5.383,4.956,3.771,4.937,3.421,1.228,4.473,4.897,1.579
Negative_1137,0,13.213,28.458,0.0,0.0,8.131,1.016,0.0,2.569,0.0,0.0,3.049,2.993,2.214,2.927,2.033,3.0,2.033,12.196,0.0,3.11,1.016
Positive_9,1,0.709,3.189,2.746,1.329,0.709,1.86,0.974,4.348,3.189,2.038,5.049,4.436,4.247,4.458,1.683,4.509,4.607,1.86,8.771,4.436,1.418
Negative_438,0,0.829,5.803,1.451,2.487,1.451,0.829,0.415,4.63,1.244,4.352,3.938,5.407,5.199,4.747,1.658,5.077,3.316,1.451,8.083,5.294,0.207
Negative_457,0,0.0,3.795,5.693,2.277,2.277,1.897,0.759,4.511,1.139,2.277,8.349,4.076,4.56,4.324,4.554,4.341,4.934,1.139,3.795,4.489,1.139
Positive_1120,1,0.926,2.409,3.15,3.567,3.058,2.27,3.567,4.974,2.27,2.224,3.335,4.979,4.984,4.744,2.965,4.874,3.567,2.131,4.679,5.074,0.787
Positive_440,1,1.031,3.607,2.834,2.577,2.577,1.804,2.834,5.08,3.865,3.35,2.319,5.589,5.442,5.245,3.092,4.646,3.092,2.062,4.638,4.748,0.515
Negative_120,0,1.428,4.183,0.816,2.652,1.734,1.531,0.51,5.126,2.04,4.387,4.387,5.16,5.305,5.14,2.448,5.174,2.958,1.633,4.897,5.285,1.02
