id,label,APAAC5,APAAC10,APAAC12,APAAC19,APAAC15,APAAC4,APAAC14,APAAC16,APAAC3,APAAC6,APAAC20,APAAC13,APAAC7,APAAC2,APAAC11,APAAC18,APAAC23,APAAC9,APAAC29,APAAC39,APAAC1,APAAC24,APAAC8,APAAC34,APAAC17,APAAC28,APAAC40,APAAC32
Positive_297,1,0.227,5.999,6.679,3.622,5.66,5.773,2.716,4.415,3.622,9.056,6.452,2.83,4.415,5.093,11.998,0.792,-2.626,2.377,-0.368,1.103,11.206,-1.576,6.452,3.939,5.66,1.05,2.626,-3.676
Negative_141,0,1.298,2.164,0.866,0.866,3.463,5.627,2.164,5.627,0.866,6.492,3.03,4.328,1.731,3.895,15.149,0.866,-5.402,0.866,0.381,3.151,3.895,-4.259,3.463,0.97,2.597,2.735,-0.312,5.263
Positive_579,1,1.383,6.568,8.296,4.148,4.839,7.95,6.222,6.913,3.802,8.642,8.987,4.494,3.111,5.531,11.061,2.42,-3.699,4.494,0.383,2.997,12.098,-5.612,12.098,-6.696,4.494,-5.867,6.952,-0.893
Negative_496,0,0.583,1.048,2.679,0.699,5.475,2.213,2.097,7.689,1.165,2.563,2.097,0.583,3.728,2.563,4.427,0.466,1.734,1.631,2.615,2.302,7.456,2.388,5.242,2.558,2.446,3.127,2.956,1.734
Negative_1307,0,0.805,3.401,1.074,1.79,2.327,1.163,2.864,3.58,0.805,1.342,4.743,1.432,1.342,2.058,7.875,0.895,3.611,0.716,2.961,2.07,3.848,1.18,3.401,1.324,2.685,1.781,-0.217,1.709
Positive_1186,1,1.456,3.972,3.707,2.251,2.251,2.516,3.045,5.031,2.516,3.31,3.84,1.324,2.383,1.589,8.076,0.662,1.636,0.53,4.597,1.438,3.575,1.636,2.383,2.284,1.986,2.087,1.551,2.341
Negative_486,0,0.0,1.407,1.005,0.402,6.431,5.627,4.823,5.426,0.804,4.823,2.01,1.005,1.809,5.225,3.216,1.005,0.981,1.809,-1.29,-2.271,1.206,2.383,5.627,2.579,2.412,5.999,2.215,5.523
Negative_437,0,1.725,6.034,6.608,4.309,11.781,5.747,3.161,7.471,4.309,6.034,12.93,3.448,3.448,6.034,6.321,0.862,-6.448,2.586,-2.169,-3.458,10.345,-1.29,7.471,4.982,6.608,0.996,0.469,-1.876
Positive_1175,1,1.312,3.061,4.024,1.837,2.449,2.974,1.487,3.761,2.274,7.085,2.362,2.012,2.974,2.974,6.21,0.262,-1.185,1.312,4.006,1.382,3.412,0.028,2.187,4.288,2.449,4.09,3.385,1.749
Positive_1083,1,4.185,3.863,5.795,1.932,4.829,4.185,3.219,5.151,3.863,10.945,6.761,3.863,4.185,5.151,11.589,0.644,-5.413,1.288,-1.567,0.617,8.37,0.997,0.966,5.556,4.185,3.941,4.321,-0.522
Positive_767,1,1.348,6.905,6.737,2.19,5.39,6.4,2.021,3.032,2.695,6.905,10.106,2.358,2.19,3.032,6.4,0.505,0.15,2.021,-1.351,2.001,13.98,-0.35,11.285,1.251,4.547,-2.301,1.501,-0.2
Positive_183,1,0.628,5.779,2.889,1.256,2.01,1.759,3.141,3.769,1.759,3.015,4.02,0.377,1.633,2.261,5.025,1.005,3.104,1.005,2.729,0.883,4.271,1.606,3.769,3.024,4.146,1.793,-0.294,0.589
Positive_1164,1,0.0,6.696,6.325,3.349,1.86,4.465,3.349,6.325,5.58,7.812,7.812,1.86,3.349,4.092,9.672,0.0,0.333,1.86,0.619,3.095,8.556,0.286,8.556,2.952,3.72,1.238,1.19,-2.905
Positive_870,1,1.463,5.852,8.412,4.39,5.121,6.218,3.657,5.303,2.743,7.132,5.121,2.377,3.841,4.755,7.863,1.646,-5.524,1.28,0.328,-0.702,5.669,-5.29,6.035,4.073,4.755,-0.796,1.358,0.89
Positive_797,1,2.288,8.581,5.435,3.147,4.291,4.576,3.147,6.579,6.293,6.579,8.009,2.86,5.149,3.147,7.723,1.145,1.757,1.716,-4.167,-1.305,4.291,-3.062,10.583,-0.452,4.862,1.355,-1.255,2.41
Positive_205,1,2.105,4.444,7.952,3.975,5.613,5.846,3.975,4.678,2.807,6.549,6.315,2.573,4.678,4.911,9.823,1.403,0.754,1.871,-1.178,-0.377,4.21,-0.471,6.782,0.66,3.742,2.074,2.451,-1.272
Negative_77,0,1.015,3.213,3.213,1.522,2.114,1.945,2.537,5.158,2.452,1.86,2.875,1.099,1.945,2.199,4.735,1.184,2.095,0.761,2.644,0.923,3.636,2.095,2.283,2.544,4.143,2.744,1.048,2.993
Positive_140,1,2.654,6.193,7.076,3.538,9.731,7.962,7.076,9.731,0.885,11.5,11.5,1.769,6.193,10.616,25.654,0.885,4.299,1.769,-10.987,-7.404,14.154,1.672,15.038,3.344,5.307,0.637,-10.748,-1.433
Positive_479,1,0.591,3.74,5.413,3.641,3.74,4.133,1.87,5.019,3.74,6.594,3.641,1.082,3.641,4.133,7.479,0.787,-1.211,1.476,-1.496,3.598,3.74,-0.713,3.149,2.672,3.641,5.273,4.489,-0.321
Positive_506,1,0.833,4.305,3.055,1.944,2.083,2.916,2.499,4.582,2.361,5.276,4.305,1.666,1.944,3.055,5.693,1.111,3.906,1.389,0.47,0.235,2.638,5.11,2.916,1.733,4.166,4.493,0.91,1.175
Negative_1095,0,5.362,1.031,1.856,1.031,5.362,2.062,1.65,5.981,1.237,3.506,3.093,0.825,3.506,4.949,4.743,0.619,4.592,1.444,2.085,2.931,4.124,3.142,5.155,0.725,2.887,3.746,3.656,-0.0
Positive_199,1,0.301,4.514,5.718,2.709,6.622,6.019,7.525,8.427,3.913,5.718,10.534,5.418,6.622,5.418,12.641,1.204,-5.203,3.913,-0.968,-1.452,8.728,-3.509,6.922,-2.843,8.126,1.512,-3.448,-2.178
Negative_1185,0,0.0,0.315,0.315,0.315,7.88,3.152,1.891,3.782,1.261,1.576,1.891,0.315,4.728,4.098,4.098,0.315,1.098,1.576,3.97,3.273,1.261,1.816,2.522,2.64,0.946,1.816,1.415,2.133
Negative_399,0,2.417,3.625,1.209,2.417,2.658,2.175,4.35,3.867,1.45,0.725,4.592,1.45,2.658,4.834,9.184,1.692,4.006,1.209,1.366,-1.087,4.35,1.863,3.625,2.981,3.625,-0.528,1.118,2.019
Negative_663,0,1.136,1.136,7.385,1.136,5.112,2.272,1.136,6.817,2.84,4.544,4.544,0.568,1.704,4.544,2.272,0.568,-2.743,0.568,-1.387,3.279,5.68,2.648,5.112,7.377,3.976,7.598,3.909,-2.207
Positive_171,1,0.763,4.638,4.13,2.415,4.003,5.401,2.288,3.431,2.415,6.989,6.926,1.906,3.304,7.053,7.625,0.635,-3.972,1.525,0.836,-2.048,7.37,-2.55,6.671,3.972,4.13,3.052,1.672,0.293
Positive_964,1,1.014,3.572,2.374,1.359,2.558,2.12,2.995,3.664,2.489,3.41,3.134,1.244,1.889,2.811,5.231,0.645,1.075,0.968,2.175,2.38,3.94,1.459,3.111,2.073,2.65,3.301,2.38,2.559
Positive_424,1,0.876,3.264,1.672,1.592,2.547,0.955,2.547,2.388,1.512,2.149,4.14,0.955,1.274,1.035,5.015,0.876,3.045,0.398,2.917,3.173,3.264,1.448,3.98,2.151,2.149,2.257,1.704,2.981
Negative_1156,0,6.694,1.116,6.694,0.0,8.926,4.463,2.231,7.81,1.116,6.694,2.231,1.116,2.231,5.579,5.579,3.347,-6.186,1.116,7.603,-1.246,7.81,-6.615,4.463,-2.663,6.694,0.344,3.608,6.014
Positive_607,1,2.26,4.238,3.956,2.26,3.956,4.803,1.695,2.543,1.978,4.803,6.498,1.695,3.108,2.825,11.867,1.413,-2.68,2.26,-0.727,3.522,5.933,-3.522,5.933,1.149,2.543,-1.608,1.761,0.689
Positive_180,1,1.757,4.393,6.589,3.185,5.71,4.941,3.294,6.589,2.196,5.49,6.808,2.526,5.38,4.612,9.663,2.965,-2.181,3.185,0.645,4.71,8.126,-2.181,5.71,0.446,6.04,1.934,4.859,-0.942
Negative_1146,0,3.468,3.902,3.252,4.336,6.07,3.902,3.685,6.721,1.951,6.504,5.203,1.735,5.42,3.902,11.056,1.735,-3.126,3.468,-0.237,-0.711,6.938,-2.084,7.588,1.753,3.902,1.895,-2.605,1.137
Positive_687,1,3.464,6.063,7.218,3.031,5.774,6.785,3.608,7.218,3.897,6.351,6.929,3.176,4.187,4.908,11.548,1.733,-3.607,2.743,-4.721,1.326,4.187,-1.804,8.084,-1.592,5.197,0.265,1.22,0.902
Negative_455,0,3.027,5.229,4.128,4.128,4.403,3.853,3.027,5.504,5.229,1.376,6.055,1.101,2.202,3.027,4.954,2.202,3.111,2.202,-3.221,3.88,4.403,-0.293,3.027,0.439,4.128,6.589,1.647,1.135
Positive_1145,1,0.991,9.251,7.599,4.295,3.964,3.634,2.974,6.938,2.974,6.938,9.251,1.983,3.304,3.964,8.921,0.33,-6.196,3.304,-3.533,-0.272,11.233,-5.978,11.893,-2.337,4.955,-1.033,-0.761,3.533
Positive_113,1,1.404,8.22,4.009,1.804,5.613,5.012,3.409,7.818,2.807,7.618,11.427,2.406,4.611,8.822,9.623,0.802,-5.409,2.005,-5.926,-0.921,12.831,-3.682,10.024,2.647,4.811,1.784,3.049,-0.863
Negative_965,0,5.013,5.013,4.595,1.671,3.759,3.342,2.088,7.101,3.759,5.43,2.924,2.088,2.088,2.507,9.608,0.417,2.075,0.836,1.422,-3.997,5.013,1.46,3.759,-3.19,5.849,5.227,-1.537,1.038
Positive_404,1,1.857,3.921,5.159,3.611,5.571,4.953,2.167,5.881,3.715,5.985,6.913,2.889,2.167,4.024,6.913,1.341,-2.626,1.754,-0.042,2.414,5.262,-1.567,5.055,1.144,5.571,1.313,2.414,2.414
Negative_779,0,1.458,2.106,4.537,1.458,7.13,3.565,3.889,4.537,2.106,5.834,6.32,1.135,2.917,5.834,8.588,1.458,1.224,1.135,0.169,-1.52,7.13,0.549,7.616,4.939,5.672,2.195,-0.169,-1.098
Positive_933,1,0.59,5.31,3.983,4.278,3.245,4.721,3.688,4.721,3.983,2.36,5.31,2.803,2.065,5.31,7.228,1.475,4.003,0.885,3.965,2.757,4.573,3.172,3.541,2.606,5.458,1.02,0.566,-1.095
Positive_1159,1,1.055,4.219,4.822,3.164,4.219,3.616,3.767,4.219,2.562,4.219,3.917,1.958,3.013,3.917,9.492,0.904,1.061,1.808,0.455,-0.493,5.273,-2.615,5.273,2.956,4.369,4.547,-2.046,-1.629
Positive_266,1,1.304,5.412,2.934,2.217,3.391,2.739,3.521,4.76,2.674,2.999,4.565,1.63,1.956,3.065,6.586,1.304,4.461,1.435,0.766,1.531,5.282,2.23,5.087,1.265,3.717,3.096,0.133,-0.866
Positive_1047,1,0.519,3.976,1.901,1.469,1.815,1.037,3.63,3.716,1.21,2.074,3.543,1.469,1.469,1.383,4.84,0.605,3.034,0.605,2.808,3.057,3.889,2.197,3.803,1.676,2.334,2.695,1.585,1.178
Positive_1003,1,3.26,7.334,7.334,6.927,4.074,7.742,6.519,6.112,4.074,5.704,5.297,1.63,2.852,4.889,8.149,2.445,-0.451,3.667,4.176,-1.749,7.742,-0.113,12.223,-0.339,4.889,-1.298,-0.847,0.169
Negative_1292,0,0.288,0.216,0.828,0.216,1.188,0.54,0.216,2.34,0.252,3.384,0.936,0.18,1.728,4.535,2.196,0.108,2.239,0.504,2.392,5.37,3.851,3.461,1.332,3.983,0.612,4.084,4.25,3.028
Negative_679,0,0.0,2.594,3.891,0.648,5.836,1.945,1.945,8.43,0.648,1.297,2.594,1.945,3.891,7.781,14.914,1.297,4.59,2.594,6.042,-6.669,7.781,1.491,6.484,-0.942,1.945,-0.863,-5.963,-1.216
Negative_198,0,2.078,1.558,2.597,2.078,6.232,2.597,2.078,7.271,3.636,1.039,2.597,5.713,1.558,2.078,4.674,1.558,4.652,0.0,0.936,-0.991,2.597,3.716,1.039,3.991,2.078,3.688,-1.376,1.211
Negative_743,0,0.969,3.874,2.905,1.453,7.747,5.811,2.905,4.842,4.358,6.78,10.169,1.937,6.78,7.264,13.558,1.937,-1.063,7.747,-0.783,-2.013,7.264,-0.336,10.169,0.895,3.389,-0.056,-0.671,-3.747
Negative_153,0,4.194,5.766,4.194,1.048,2.097,2.62,4.194,9.435,2.097,5.766,5.766,1.572,6.29,4.194,12.056,1.048,8.966,2.62,-2.467,-2.657,4.194,4.934,8.911,-5.74,6.814,1.423,0.19,-4.317
Positive_361,1,1.466,5.731,5.864,2.932,3.465,3.332,3.465,6.797,4.665,5.598,5.731,0.8,3.065,1.733,5.731,1.733,2.673,1.2,2.858,-1.522,3.598,3.081,2.532,0.26,4.798,2.858,-0.52,2.561
Positive_134,1,1.745,7.563,5.527,2.327,6.4,4.363,4.363,5.237,3.782,7.273,9.6,4.073,3.491,5.237,6.4,1.455,-6.423,2.037,-0.104,1.044,11.055,-3.446,8.728,2.454,3.782,1.567,-0.627,-4.23
Negative_1052,0,1.177,1.177,7.646,0.588,3.529,1.764,1.177,1.177,0.588,1.177,1.177,1.177,7.058,1.177,1.764,0.0,2.168,1.764,6.37,1.721,5.882,2.503,1.764,2.973,2.941,4.738,3.532,5.007
Positive_981,1,0.514,5.995,7.023,2.741,8.051,4.283,4.968,11.648,2.912,5.653,6.167,2.227,3.083,5.31,7.709,0.342,-2.339,2.398,-0.682,-1.17,6.338,-0.78,5.138,-0.341,4.968,-0.439,1.267,-2.778
Positive_970,1,0.711,3.551,4.617,2.486,5.505,3.551,2.486,5.15,1.598,5.15,3.729,1.42,3.729,5.682,5.15,1.243,-2.078,1.42,-0.104,3.982,4.617,-1.073,3.729,0.831,3.729,0.623,-0.277,1.593
Positive_1098,1,2.262,5.007,3.069,1.131,1.131,1.292,3.392,5.815,2.423,1.777,4.038,1.939,1.939,2.1,7.915,1.131,4.378,1.616,4.842,-1.218,4.361,1.624,2.746,1.856,2.908,1.392,-1.479,0.493
Negative_378,0,3.266,1.633,4.355,1.089,3.266,2.721,1.633,2.721,1.633,3.266,2.721,1.633,1.633,2.721,1.633,0.544,3.75,0.544,2.778,5.173,2.177,1.988,1.633,4.179,4.355,5.037,4.879,4.247
Negative_1180,0,3.882,5.57,5.231,4.726,7.089,3.207,3.207,7.426,4.388,5.57,4.219,2.531,4.894,3.375,10.126,3.375,-1.172,2.025,-0.408,1.733,5.57,-0.51,7.426,-1.223,8.101,-0.968,-0.51,-1.121
Positive_340,1,3.008,6.016,5.05,3.116,5.909,5.587,3.76,7.306,3.867,6.768,6.124,3.223,4.405,6.661,10.207,1.181,-4.767,3.867,0.0,-1.534,9.025,-2.904,9.239,0.767,5.265,3.562,-1.37,-1.644
Negative_1018,0,4.406,1.296,0.777,2.333,8.033,1.555,2.073,6.997,1.296,5.183,3.11,0.518,3.369,4.146,6.22,1.296,4.322,2.073,2.579,-1.22,5.183,2.719,6.22,0.941,3.628,0.418,-0.767,1.534
Negative_294,0,5.185,1.297,2.593,0.865,15.555,3.457,1.728,12.963,1.728,3.889,3.457,1.728,3.889,5.185,10.802,4.321,0.896,2.593,2.319,0.474,8.21,1.95,7.778,0.58,8.21,0.527,-1.687,-0.105
Positive_1091,1,1.656,6.347,7.45,4.138,4.138,8.278,3.311,5.518,1.931,6.622,9.658,1.656,4.967,5.518,9.105,1.104,-5.068,3.587,-3.161,0.327,8.829,-2.234,9.934,-4.905,5.243,5.559,-0.654,-0.708
Negative_709,0,1.623,2.609,5.623,0.753,6.782,2.434,5.159,15.478,3.942,4.174,4.463,0.87,3.362,2.377,4.0,0.406,0.898,0.638,0.77,-0.342,5.739,3.378,7.362,1.667,7.71,0.299,0.812,-0.599
Negative_493,0,0.663,3.316,3.316,1.989,7.959,0.0,3.316,4.643,1.989,3.979,5.969,2.653,1.989,5.305,5.305,0.0,6.257,0.663,5.026,-8.225,7.295,0.984,4.643,0.211,5.305,2.812,-4.675,0.176
Positive_718,1,0.615,3.151,3.92,2.229,4.227,3.69,2.921,4.919,1.538,3.997,3.536,1.46,2.46,4.688,6.456,1.076,3.485,0.922,1.039,0.134,5.381,2.614,5.918,2.614,3.92,1.273,0.67,1.139
Positive_1204,1,1.396,3.314,1.831,2.006,2.878,2.093,3.14,5.146,1.657,3.314,3.925,1.308,2.093,3.925,3.925,0.436,1.978,1.396,2.747,1.264,4.623,0.604,2.878,1.566,3.663,1.126,1.016,1.511
Negative_363,0,2.897,10.14,5.795,0.0,10.14,5.795,10.14,13.038,5.795,10.14,10.14,4.345,4.345,10.14,21.73,1.448,2.479,2.897,-4.701,-15.299,18.832,-3.333,13.038,-1.709,10.14,-4.957,-9.402,-3.077
Negative_171,0,2.853,4.121,2.219,0.317,3.487,5.705,1.585,4.754,3.17,5.071,6.022,1.585,6.022,5.071,8.875,0.634,-1.129,3.17,-3.778,-2.605,6.022,0.304,12.361,4.95,3.804,2.866,1.65,-1.52
Positive_28,1,2.441,2.929,4.882,1.79,6.347,3.58,3.255,5.859,2.115,5.533,2.604,2.929,2.766,4.394,7.486,0.163,-0.924,0.977,1.736,1.034,4.231,-1.367,5.696,2.992,3.905,3.066,1.958,2.475
Negative_835,0,1.502,1.803,3.906,0.902,3.606,1.202,0.902,1.502,1.502,0.902,3.305,0.601,0.301,4.808,0.902,0.0,2.004,0.902,7.049,5.045,3.906,1.054,1.202,-0.708,0.902,4.371,4.181,3.421
Negative_1219,0,3.791,1.422,3.791,0.474,6.161,5.687,2.844,3.791,0.948,4.739,6.161,1.896,4.739,7.583,16.114,0.948,4.076,3.791,-3.081,-3.507,9.953,1.185,3.791,6.019,6.161,0.095,-4.692,1.943
Negative_322,0,1.57,1.57,3.663,3.663,6.803,3.663,2.616,6.541,1.308,3.924,5.233,3.663,1.832,6.018,9.681,0.785,-1.276,2.616,-2.211,2.636,9.942,1.488,7.326,4.422,2.616,-1.998,2.721,1.361
Positive_677,1,2.068,4.48,6.892,5.169,4.824,4.135,3.79,9.303,5.857,8.958,7.925,4.48,4.48,5.513,8.958,2.412,-3.278,2.412,-4.37,-0.156,4.135,-3.538,5.169,1.457,3.101,4.214,4.058,-1.613
Negative_560,0,1.083,0.542,2.166,0.542,8.121,0.542,2.166,8.662,3.248,4.331,2.707,0.542,4.873,5.955,9.204,1.083,-2.54,1.624,-5.23,3.1,6.497,2.055,8.121,2.204,2.707,-0.261,1.98,-3.138
Positive_33,1,1.837,2.886,2.361,1.312,3.017,1.574,3.149,4.985,2.23,1.574,4.592,2.099,1.968,3.149,4.067,1.968,3.126,0.787,-0.302,1.398,4.723,1.919,3.017,2.386,3.542,2.221,0.247,3.345
Positive_1141,1,0.0,2.879,4.113,1.645,3.907,4.318,2.468,4.113,1.851,4.525,7.198,1.234,3.496,6.786,10.283,0.411,0.447,1.851,0.528,3.371,6.993,-0.609,9.254,3.981,3.907,4.387,2.315,-0.284
Positive_236,1,0.556,5.003,9.45,3.336,6.67,5.003,5.003,6.67,5.559,8.894,7.783,3.891,3.891,4.447,10.561,1.667,-3.067,1.667,-8.056,1.143,2.78,2.703,7.227,3.274,3.891,1.975,1.663,-1.351
Negative_657,0,2.125,2.957,1.709,2.125,7.114,3.095,3.649,14.182,3.557,4.527,4.897,1.571,5.22,4.389,7.068,1.802,-0.501,2.264,-1.152,0.952,7.068,-0.701,7.714,0.501,13.166,-1.353,0.501,-0.1
Negative_1045,0,3.97,3.087,6.427,2.899,5.419,5.104,3.403,8.318,4.978,5.545,5.167,2.268,4.789,3.087,6.301,0.693,-0.651,1.764,1.562,-1.345,2.961,0.954,4.285,1.735,6.301,2.777,-0.087,1.866
Negative_121,0,0.943,2.827,6.597,1.885,10.366,0.0,0.943,3.769,4.712,0.943,0.943,5.655,2.827,0.0,9.424,2.827,1.826,1.885,6.056,-3.525,0.0,-0.577,0.0,-0.352,7.539,3.813,-4.774,-2.179
Positive_1016,1,1.291,4.236,4.269,2.284,3.475,3.805,3.905,5.957,3.409,4.236,5.559,2.052,2.912,3.375,8.471,1.324,-1.272,1.324,-0.037,0.973,4.103,-1.085,4.865,1.122,3.971,2.282,0.898,1.272
Positive_415,1,1.585,4.678,8.375,3.169,4.527,5.13,3.924,4.753,3.244,7.017,5.584,3.018,3.319,3.622,8.451,1.585,-1.109,1.886,0.71,0.0,5.13,-0.444,5.357,1.464,4.376,3.327,0.266,1.952
Positive_1099,1,0.499,6.872,6.371,2.748,5.123,5.497,2.124,5.622,3.873,7.246,4.372,3.373,3.124,5.372,10.87,0.499,0.327,1.749,-1.633,-2.753,8.371,0.98,5.372,2.706,4.248,0.607,-0.0,3.22
Positive_12,1,2.924,2.155,3.386,4.156,9.081,8.311,6.771,6.771,2.155,4.464,6.002,1.385,4.002,7.542,9.542,2.155,1.687,2.155,-1.088,0.054,7.85,3.373,10.312,-0.49,7.695,-5.822,-3.319,-0.054
Positive_553,1,1.627,5.423,6.688,3.254,4.519,5.965,3.434,7.05,4.338,6.688,9.4,1.807,3.615,5.062,10.303,0.904,-3.585,2.35,-1.498,0.428,11.93,-3.638,6.869,-0.696,5.784,1.391,-0.107,-3.05
Positive_465,1,0.916,4.886,3.207,2.596,4.428,3.512,3.207,5.65,3.359,4.733,7.482,1.526,3.818,4.733,8.245,0.611,-1.52,1.832,-0.13,0.608,9.925,-0.565,7.023,0.434,5.191,0.13,-1.564,1.043
Positive_36,1,2.827,2.557,3.096,4.173,6.595,3.23,4.711,9.153,5.25,4.981,4.711,2.557,3.904,5.25,8.346,1.75,2.116,2.019,-3.557,1.486,4.307,0.675,6.057,1.081,4.576,2.206,1.306,-0.675
Positive_1172,1,1.12,3.921,5.602,2.381,4.902,4.342,4.481,6.302,2.801,9.243,2.941,1.68,2.661,3.081,7.142,1.4,-1.935,2.801,-0.342,-1.67,2.661,-0.076,3.081,1.442,3.361,3.378,-0.038,0.949
Positive_21,1,3.496,5.553,5.347,2.262,6.375,3.496,5.758,6.375,2.879,6.581,7.609,3.907,4.319,5.347,9.666,1.029,-5.021,4.319,-2.431,1.744,6.993,-6.237,8.637,2.378,5.758,3.7,0.211,-4.651
Positive_449,1,0.0,6.155,10.416,0.947,4.735,2.367,3.787,4.261,4.735,6.628,12.783,2.367,3.787,5.681,4.261,0.0,-10.044,1.894,6.795,6.352,7.102,-6.105,11.362,1.625,5.207,-5.662,5.121,4.579
Negative_9,0,3.126,0.447,2.233,0.447,7.145,4.466,1.786,6.699,0.447,3.572,4.019,1.786,5.359,8.039,3.572,5.359,-4.622,1.786,1.326,9.526,6.699,-1.889,11.165,-0.08,2.233,4.863,4.019,-1.969
Negative_120,0,2.66,1.52,3.229,2.85,7.789,4.939,3.799,8.169,0.95,4.559,5.509,1.9,3.04,8.169,9.119,2.09,-0.315,2.28,-2.161,0.09,6.459,2.116,7.599,1.486,3.419,0.765,-2.521,-0.72
Negative_1030,0,2.096,2.851,1.509,1.845,2.432,2.348,3.438,5.45,1.006,2.096,3.522,0.755,2.18,3.27,4.779,1.509,4.305,1.006,1.935,0.027,5.869,4.387,4.276,2.834,2.264,3.079,0.926,1.989
Positive_178,1,3.001,4.667,6.334,4.334,4.001,3.001,6.334,7.668,3.001,3.334,6.334,3.667,4.334,4.001,10.668,0.666,-2.509,0.333,0.502,1.555,9.669,-1.907,9.669,-1.405,5.335,1.555,-0.05,-3.763
Negative_135,0,2.548,4.654,3.435,2.105,8.422,4.543,3.768,11.524,3.435,5.429,7.535,2.77,4.543,5.318,8.199,1.219,-2.211,3.102,0.617,-0.668,5.208,-1.234,7.867,-1.131,7.202,-1.902,0.617,1.594
Negative_474,0,1.156,2.312,1.85,1.85,2.89,1.387,2.774,3.353,1.85,1.503,4.74,1.503,1.965,1.734,5.549,1.387,3.747,0.925,4.741,2.396,5.318,1.886,4.046,-0.306,2.89,1.759,1.3,2.753
Positive_614,1,0.441,3.308,5.292,2.205,3.087,3.969,5.513,8.38,4.41,4.19,6.835,3.087,5.072,4.63,11.466,0.441,-2.059,2.205,2.283,0.537,5.733,-2.551,4.851,1.209,4.41,4.297,-1.97,-3.402
Positive_999,1,1.314,6.757,6.194,3.191,3.191,6.007,3.003,6.757,1.689,4.693,7.883,3.379,4.317,3.942,8.447,0.0,0.386,2.065,-0.724,-1.399,8.071,0.531,9.761,-0.193,5.819,-0.965,-1.785,1.64
Positive_177,1,0.705,2.241,4.547,1.153,4.612,3.074,1.601,4.612,1.025,6.404,3.65,0.576,2.69,3.715,5.636,0.448,-1.648,0.769,0.118,-0.53,4.868,2.178,3.65,5.444,2.882,4.826,2.472,3.178
Negative_757,0,1.6,3.445,1.6,1.723,2.953,1.846,2.337,7.259,1.723,2.337,4.306,1.353,2.092,3.937,7.628,0.492,0.781,1.107,5.074,-1.741,4.675,0.09,4.06,-0.24,3.568,0.841,-0.901,2.882
Positive_796,1,1.617,5.751,6.29,2.337,2.516,5.751,4.313,4.673,2.876,4.313,4.673,2.516,3.774,3.595,7.908,1.438,-5.686,1.797,-1.953,-2.214,7.728,-5.078,8.986,7.031,3.954,3.385,-0.911,-0.651
Negative_431,0,3.005,2.791,2.147,2.362,7.298,5.152,3.005,6.655,1.288,7.191,9.445,1.717,6.118,7.728,16.1,2.469,-2.385,3.65,-0.407,-2.909,11.807,-2.618,11.269,-0.698,5.152,0.233,-3.49,-1.222
Negative_658,0,4.992,2.314,1.786,1.712,10.331,2.715,2.387,11.57,2.387,3.553,5.612,1.202,3.061,3.535,6.031,1.293,1.312,2.332,-0.21,0.735,8.891,-0.525,7.251,-0.315,22.028,-0.472,0.682,0.367
Positive_69,1,4.692,4.888,5.475,3.128,2.933,3.714,4.105,5.279,6.256,8.407,7.234,1.174,2.737,3.91,5.475,1.368,-2.569,1.955,-2.479,-0.631,4.301,-1.082,7.038,1.803,6.061,-0.541,0.901,2.614
Positive_150,1,0.844,4.01,6.542,2.005,4.221,4.537,4.115,3.483,2.849,6.437,5.698,1.478,2.955,5.382,8.548,1.161,-4.163,0.844,-2.271,-0.168,5.804,-1.934,8.653,3.616,4.537,3.827,1.262,-0.715
Negative_295,0,5.359,1.261,5.359,1.261,0.946,3.783,1.261,9.772,1.891,7.881,4.414,1.891,2.521,4.414,9.141,1.261,-1.983,0.315,-1.028,-0.073,5.044,3.122,4.098,7.602,1.576,-0.22,1.212,2.607
Positive_1183,1,2.048,5.687,5.915,2.73,5.46,4.322,7.507,8.19,3.868,8.645,7.963,2.048,4.55,6.598,11.375,0.683,2.116,3.868,-6.565,-0.271,5.687,0.109,7.507,-0.488,3.868,2.876,-1.302,0.38
Positive_699,1,1.614,6.052,5.245,4.438,3.631,6.052,4.438,8.069,2.825,4.438,5.648,3.631,2.018,6.052,8.473,0.0,-2.82,2.018,-2.042,4.813,8.473,-2.82,8.473,5.056,5.648,-1.507,3.257,-1.458
Positive_79,1,2.377,2.207,0.849,1.867,5.432,3.395,2.717,4.584,1.697,3.056,5.602,1.867,2.207,6.112,11.714,1.528,3.17,2.377,-3.056,2.101,8.319,2.215,4.584,1.108,3.905,2.788,1.375,1.91
Negative_1154,0,6.945,1.736,0.0,1.736,10.418,0.868,3.473,7.813,0.0,2.604,6.945,2.604,4.341,1.736,7.813,0.868,4.758,1.736,4.532,2.341,6.077,3.097,3.473,-2.53,4.341,3.814,1.737,-0.113
Negative_1019,0,3.852,7.705,6.566,4.028,5.691,6.917,3.852,8.668,4.552,6.041,7.354,2.014,3.677,4.465,11.819,2.977,-0.463,3.502,-2.431,0.058,8.142,-0.868,7.442,-0.347,6.479,-2.025,-0.0,-3.993
Negative_119,0,1.318,5.271,7.907,1.977,7.248,4.613,3.294,7.248,0.659,7.248,5.931,1.318,4.613,1.318,7.907,1.318,-4.566,0.659,-10.47,1.937,7.248,-3.275,7.248,7.196,7.907,3.321,2.537,-1.614
