id,label,C,P,I,K,D,Y,F,S,N,E,V,Q,R,L
Negative_726,0,1.863,6.599,3.649,1.32,4.348,2.174,3.96,6.211,2.174,5.59,8.463,4.814,7.065,9.938
Positive_193,1,1.23,2.908,6.935,7.718,4.474,3.244,3.803,9.396,4.027,6.711,6.488,4.81,4.362,10.962
Negative_334,0,1.053,21.053,5.263,6.316,0.0,0.0,3.158,13.684,4.211,4.211,6.316,6.316,1.053,5.263
Negative_853,0,2.469,6.173,4.012,1.543,1.543,0.926,4.012,6.173,0.617,5.864,7.716,4.63,3.704,20.988
Negative_855,0,1.98,5.446,1.485,3.465,2.97,2.475,2.97,9.406,0.99,4.95,5.446,7.921,9.901,12.871
Negative_1269,0,1.875,13.438,1.25,0.625,4.062,1.562,1.875,5.312,1.25,2.812,4.375,5.625,4.688,13.438
Negative_436,0,2.535,8.534,2.197,4.985,4.098,1.267,2.197,9.252,1.436,9.632,5.196,5.323,6.548,9.168
Positive_1209,1,0.833,4.167,5.278,8.889,5.278,2.5,2.778,7.778,1.389,5.556,9.444,5.556,4.722,10.556
Positive_817,1,1.075,3.656,4.946,6.022,5.161,4.516,7.097,8.817,2.796,4.516,7.527,2.581,6.237,10.323
Positive_1081,1,1.621,4.052,6.483,3.728,3.566,4.862,7.618,5.511,3.89,3.241,8.428,2.755,3.079,12.642
Negative_1135,0,3.166,7.263,3.352,1.862,5.773,3.538,5.773,7.263,5.773,5.4,6.145,4.097,6.89,9.125
Negative_75,0,1.639,5.282,4.918,5.1,4.554,4.007,6.193,7.104,3.279,3.461,7.832,3.279,2.914,14.39
Negative_22,0,4.294,15.337,1.227,3.067,3.681,0.613,1.84,8.589,0.0,4.294,4.908,5.521,7.362,12.27
Negative_1247,0,3.556,6.889,2.444,4.444,5.333,3.333,4.222,5.778,3.333,4.667,5.778,4.0,5.556,10.0
Positive_690,1,2.688,5.914,2.688,8.602,6.452,3.763,2.688,4.839,4.301,6.72,6.452,2.419,6.72,10.753
Positive_580,1,2.653,5.04,6.631,5.57,6.631,5.57,3.448,6.101,2.653,5.57,6.897,3.979,2.918,8.488
Negative_47,0,4.965,9.22,3.546,8.511,5.674,2.128,4.255,7.092,1.418,2.837,6.383,5.674,6.383,12.057
Positive_23,1,3.621,3.064,7.242,3.621,3.064,3.621,4.178,7.521,5.292,2.507,8.914,3.064,6.128,13.092
Negative_1088,0,2.19,7.299,2.19,2.19,0.73,0.0,1.46,8.759,2.19,8.029,8.029,3.65,7.299,13.139
Negative_543,0,2.614,9.804,3.922,5.882,2.614,3.268,1.961,7.19,2.614,0.654,6.536,5.882,2.614,7.843
Positive_341,1,0.0,4.598,8.333,6.609,4.885,4.598,4.598,7.184,5.172,5.172,8.046,5.46,3.161,9.483
Positive_998,1,3.107,3.955,4.52,5.65,8.192,6.215,5.085,5.085,3.39,3.39,7.345,3.672,5.932,8.757
Positive_1101,1,3.061,2.381,4.422,7.823,5.782,3.401,5.102,7.823,5.102,4.082,5.102,2.721,2.381,7.823
Positive_1026,1,1.639,1.639,3.279,7.104,8.197,4.918,3.279,6.557,6.557,8.743,3.279,5.464,3.825,12.022
Positive_142,1,1.946,5.447,9.533,3.113,3.502,3.307,5.253,8.171,3.307,3.502,6.615,2.918,2.724,11.479
Negative_1117,0,4.564,5.809,4.149,5.809,4.149,0.83,2.49,5.809,2.905,7.884,6.639,3.734,11.203,9.544
Positive_761,1,1.303,3.583,9.772,6.515,5.212,4.886,2.28,4.886,4.886,8.143,7.166,4.235,3.909,7.492
Negative_1229,0,3.059,5.545,4.015,3.824,5.545,1.53,3.442,5.545,3.633,4.78,8.031,2.294,5.545,10.707
Positive_957,1,0.448,3.139,2.691,0.448,2.691,3.587,5.381,5.381,0.897,6.726,8.072,4.484,6.278,13.004
Positive_192,1,1.274,5.308,6.794,7.431,8.28,3.185,7.006,7.219,3.609,5.096,4.883,4.459,4.246,7.006
Negative_805,0,0.985,9.36,3.941,5.419,2.956,5.172,2.217,10.345,4.187,3.448,4.68,8.867,2.463,6.404
Negative_1036,0,6.299,5.512,3.15,7.087,3.937,4.724,3.937,8.661,2.362,5.512,4.724,3.15,4.724,7.874
Positive_715,1,1.333,7.778,2.444,4.222,5.222,2.667,2.444,7.333,2.111,7.0,5.556,4.778,5.778,11.667
Positive_799,1,0.748,2.43,7.103,6.355,5.794,3.551,3.925,8.037,3.738,8.037,6.168,3.738,4.673,9.533
Positive_699,1,1.66,3.734,6.224,5.394,6.224,4.564,4.564,8.299,2.905,4.564,5.809,2.075,6.224,8.714
Negative_32,0,8.108,12.162,2.703,0.0,0.0,1.351,4.054,13.514,0.0,1.351,8.108,5.405,6.757,6.757
Negative_572,0,12.5,2.083,0.0,2.083,2.083,14.583,6.25,10.417,4.167,2.083,0.0,2.083,2.083,4.167
Negative_840,0,1.546,6.186,7.732,6.701,1.031,0.515,2.577,6.186,4.124,4.124,5.67,5.155,7.216,4.639
Positive_1001,1,1.37,5.882,5.157,3.948,5.802,2.82,4.11,12.49,3.546,10.073,6.93,3.626,3.868,9.508
Positive_5,1,0.64,7.404,4.845,1.92,4.113,2.559,3.839,5.576,2.468,2.102,8.867,2.742,6.216,11.7
Negative_841,0,1.562,3.906,5.469,4.688,5.469,2.344,2.344,7.812,2.344,3.125,7.031,3.906,16.406,8.594
Negative_807,0,1.149,5.172,2.874,0.575,5.172,2.874,3.448,5.172,0.575,10.345,8.046,4.023,10.92,8.621
Negative_165,0,3.39,11.017,2.542,3.39,1.695,0.0,4.237,5.932,1.695,3.39,6.78,5.932,5.932,10.169
Positive_472,1,2.557,2.841,10.227,5.682,3.693,4.83,6.534,9.659,3.693,3.977,7.386,1.989,3.125,11.08
Positive_30,1,2.804,4.86,4.486,5.234,3.364,2.243,4.299,5.794,3.178,6.355,8.224,3.178,5.794,8.224
Negative_1084,0,5.714,6.429,0.714,3.571,6.429,3.571,1.429,7.857,5.714,3.571,7.857,7.143,4.286,14.286
Negative_958,0,2.787,10.801,5.226,2.091,3.136,2.787,2.787,11.15,2.439,6.62,5.226,5.575,6.62,8.014
Positive_431,1,0.654,4.144,5.998,7.415,7.743,4.144,4.362,5.453,4.471,7.852,7.415,3.272,4.362,7.961
Negative_1030,0,3.846,4.462,5.231,2.769,4.308,3.385,6.308,10.0,1.846,3.846,6.462,4.0,6.0,8.769
Negative_590,0,1.796,4.192,5.988,4.192,5.988,2.395,2.395,10.18,2.395,2.395,7.186,7.186,2.395,16.168
Positive_630,1,1.778,5.333,4.444,4.444,5.556,3.556,4.444,5.556,3.556,5.556,9.556,5.778,5.333,8.889
Positive_822,1,2.056,4.768,5.381,5.818,5.424,3.631,4.418,6.912,3.368,8.311,6.562,4.462,6.299,9.843
Negative_1169,0,2.97,3.96,2.599,3.837,5.322,1.361,3.218,6.436,1.98,5.446,8.045,5.569,5.941,12.5
Positive_83,1,3.763,6.72,5.914,3.226,3.763,3.226,4.839,7.258,2.688,2.151,9.409,1.075,6.183,10.753
Negative_776,0,5.724,8.754,7.744,3.367,4.377,2.694,5.724,5.387,4.04,5.387,5.724,5.387,6.061,7.071
Negative_831,0,5.97,2.985,5.97,7.463,4.478,5.97,1.493,0.0,2.985,7.463,4.478,1.493,5.97,17.91
Negative_964,0,2.564,4.701,5.128,5.556,5.128,3.846,4.274,7.265,6.41,1.709,8.547,6.41,1.709,13.675
Positive_58,1,3.9,5.014,3.064,2.228,2.228,3.343,6.964,9.192,2.786,3.621,6.685,2.228,7.799,16.435
Positive_1033,1,1.493,2.985,7.463,5.97,1.493,2.985,2.985,4.478,3.731,8.955,5.97,5.224,5.224,15.672
Positive_471,1,1.887,5.189,4.245,6.604,3.774,1.415,5.189,8.962,5.189,7.547,3.774,6.604,4.245,13.208
Negative_178,0,3.83,10.213,2.128,3.404,2.979,2.979,4.681,8.085,2.979,2.553,5.957,2.553,7.66,14.043
Negative_355,0,2.97,4.95,0.495,1.98,4.455,0.0,0.99,4.95,1.98,12.871,2.475,6.436,11.881,15.842
Positive_687,1,3.265,5.442,5.714,6.803,6.395,2.857,3.401,6.803,3.673,5.986,6.531,3.946,4.626,10.884
Negative_1203,0,2.76,7.792,5.357,4.87,4.221,1.786,3.084,6.818,2.11,6.169,7.468,4.221,4.383,10.065
Negative_991,0,8.772,7.018,4.094,3.509,4.094,3.509,2.339,6.433,4.678,6.433,4.094,1.754,4.678,10.526
Negative_151,0,4.498,5.536,4.844,5.19,4.152,3.46,3.806,8.997,5.882,7.612,5.19,3.46,5.19,11.419
Negative_1313,0,3.571,7.143,7.143,3.571,0.0,5.357,10.714,14.286,1.786,7.143,1.786,3.571,0.0,14.286
Negative_599,0,3.376,6.751,4.501,3.516,4.782,4.219,4.219,6.61,3.657,4.923,4.923,4.782,5.626,11.955
Negative_138,0,9.375,10.938,6.25,7.812,1.562,3.125,9.375,3.125,0.0,0.0,6.25,1.562,4.688,12.5
Negative_454,0,8.621,6.034,1.724,6.034,2.586,6.034,5.172,8.621,3.448,3.448,8.621,4.31,3.448,6.897
Negative_131,0,1.124,8.708,1.966,2.809,4.494,1.404,2.247,6.461,2.247,8.989,3.09,4.494,11.236,8.708
Positive_565,1,0.094,2.627,5.441,9.662,7.129,4.597,3.377,8.912,5.441,7.036,5.816,5.066,3.189,7.505
Negative_198,0,3.774,11.321,2.83,4.717,4.717,3.774,3.774,13.208,6.604,1.887,4.717,2.83,3.774,8.491
Positive_1025,1,1.99,3.98,4.975,6.965,5.473,5.473,4.478,3.98,4.975,9.95,5.473,5.97,3.98,10.448
Negative_1287,0,4.938,6.173,9.877,14.815,1.235,0.0,0.0,7.407,2.469,7.407,6.173,9.877,3.704,7.407
Positive_404,1,2.192,6.577,4.629,6.09,5.847,4.263,2.558,6.943,4.385,7.065,8.161,2.558,4.75,8.161
Negative_876,0,0.0,9.677,4.301,3.226,6.452,3.226,5.376,10.753,4.301,1.075,5.376,4.301,11.828,7.527
Positive_879,1,2.857,3.81,6.667,7.143,3.333,3.81,3.81,10.0,2.857,8.095,6.19,4.762,5.238,10.0
Positive_793,1,1.392,6.163,3.579,3.38,2.584,2.386,5.169,5.368,3.38,6.163,6.362,5.368,7.952,14.911
Negative_1214,0,3.059,6.277,3.178,3.059,4.211,2.225,3.059,8.264,2.662,8.661,5.721,5.761,6.118,13.111
Negative_128,0,0.0,8.929,1.19,2.381,4.762,1.19,3.571,16.071,1.19,7.738,1.786,6.548,9.524,4.167
Negative_565,0,7.778,1.111,0.0,0.0,0.0,20.0,7.778,12.222,1.111,0.0,0.0,0.0,3.333,2.222
Positive_1174,1,2.148,5.489,4.773,12.649,5.728,2.148,4.057,3.103,5.012,8.592,6.205,3.58,2.387,9.308
Positive_1021,1,1.696,5.292,3.867,6.038,3.596,3.799,4.206,8.345,4.342,7.056,9.43,4.953,3.121,9.701
Positive_417,1,2.148,4.535,5.012,5.251,5.489,5.728,3.58,4.773,2.625,7.16,6.444,6.205,6.205,11.933
Positive_1068,1,2.096,4.491,5.09,6.287,6.287,3.892,7.485,9.581,3.593,5.689,5.689,5.988,4.491,7.784
Negative_248,0,1.993,9.635,3.654,3.654,4.153,2.326,4.651,8.804,3.987,4.319,6.977,3.821,6.312,8.306
Positive_689,1,3.236,4.207,4.207,3.883,7.767,5.178,4.531,4.854,3.883,6.472,6.796,4.531,6.472,10.032
Negative_1103,0,1.796,2.994,4.79,4.79,4.192,5.988,3.593,11.976,3.593,2.395,7.784,2.395,5.988,10.778
Positive_1040,1,0.671,2.908,6.04,4.251,6.04,4.251,2.908,5.369,4.474,7.606,4.698,3.803,6.04,9.62
Positive_181,1,1.718,6.962,4.882,3.436,5.244,3.797,2.984,8.318,3.345,8.499,8.318,3.888,5.154,11.302
Positive_1017,1,0.45,4.505,7.207,6.532,3.829,4.054,7.432,4.054,4.505,5.18,5.18,4.279,3.604,10.586
Positive_361,1,1.975,4.668,7.72,7.899,4.488,3.95,4.668,9.156,6.284,7.54,7.72,4.129,2.334,7.72
Positive_848,1,1.24,10.078,4.186,5.271,5.116,4.496,4.806,4.341,2.946,5.426,5.891,4.031,7.907,6.977
Negative_287,0,1.818,10.303,1.212,0.606,2.424,0.0,2.424,6.061,0.0,3.03,4.242,6.061,5.455,23.03
Negative_251,0,1.132,7.547,3.396,1.509,3.774,3.019,1.887,4.528,1.887,6.038,6.415,4.906,10.189,15.472
Positive_1176,1,1.37,4.795,4.795,4.11,8.219,2.74,3.425,6.164,4.795,10.274,2.74,4.11,2.74,11.644
Positive_754,1,0.775,6.202,4.651,4.264,4.651,3.488,5.426,7.364,3.876,8.915,6.589,3.876,5.814,11.628
Negative_144,0,3.261,10.326,2.174,1.087,3.804,1.087,3.804,5.435,3.804,7.609,4.891,11.957,4.891,13.043
Negative_304,0,3.077,13.846,1.538,4.615,7.692,0.0,3.077,6.154,3.077,1.538,1.538,1.538,9.231,13.846
Positive_589,1,3.498,4.938,4.527,6.79,3.498,3.704,3.909,6.379,3.909,9.259,4.938,6.584,5.144,9.465
Negative_1209,0,0.0,3.704,4.938,3.086,5.556,1.235,1.235,11.111,1.235,6.79,12.346,2.469,2.469,8.025
Negative_835,0,4.348,10.435,5.217,11.304,3.478,2.609,2.609,4.348,4.348,2.609,9.565,0.87,13.913,2.609
Positive_954,1,3.966,4.958,5.524,8.215,5.099,2.408,6.657,4.674,4.674,7.932,4.533,4.108,5.099,9.065
Positive_520,1,0.438,7.718,4.05,8.648,6.787,1.423,2.463,10.181,1.587,12.042,5.638,3.941,3.722,6.459
Negative_925,0,4.167,7.917,3.333,2.5,3.75,1.667,5.0,10.833,4.583,12.5,5.0,5.0,4.583,6.667
Negative_725,0,1.984,6.349,2.381,4.365,3.968,1.587,2.778,6.746,2.778,4.762,3.175,5.952,12.302,15.079
Negative_468,0,4.286,9.286,3.036,2.5,3.214,3.393,4.464,5.179,1.964,3.929,4.643,4.107,5.536,10.357
Positive_87,1,1.925,7.315,2.791,2.31,4.909,2.695,3.369,7.218,3.561,5.679,8.662,5.967,5.197,12.608
Positive_506,1,1.418,3.546,7.329,5.201,4.965,3.31,4.255,7.801,4.019,8.983,7.329,3.31,5.201,9.693
Positive_352,1,1.545,3.532,6.512,6.071,4.857,3.863,5.519,7.616,4.525,5.96,6.623,4.415,4.967,8.057
Positive_677,1,1.987,4.636,4.305,6.623,3.974,4.967,3.642,8.94,5.629,8.609,7.616,4.305,5.298,8.609
Positive_0,1,2.481,5.211,2.481,4.218,4.715,2.233,2.481,5.955,2.73,4.715,9.926,4.218,6.948,11.911
Positive_1196,1,2.051,3.59,6.154,3.846,2.308,3.59,7.692,13.59,3.846,3.077,8.205,2.308,5.641,11.795
Positive_986,1,1.679,4.664,5.41,5.597,5.97,1.866,4.664,7.836,3.918,8.769,6.157,5.037,5.224,10.448
Negative_1071,0,0.794,12.698,5.556,1.587,4.762,0.0,2.381,8.73,0.794,10.317,5.556,3.968,4.762,9.524
Negative_29,0,4.348,9.42,0.725,2.174,0.725,0.0,4.348,13.043,3.623,3.623,2.899,5.072,7.971,11.594
Negative_250,0,1.053,3.684,5.263,3.158,2.105,4.211,6.316,9.474,3.158,3.158,7.368,3.158,1.579,8.947
Negative_705,0,2.443,8.958,2.117,3.42,3.257,1.792,4.235,13.355,6.026,4.56,5.212,5.049,5.863,8.958
Positive_698,1,2.505,3.967,7.098,5.846,7.098,4.593,4.384,7.307,5.01,4.384,7.724,2.714,4.593,9.603
Positive_1145,1,0.912,3.647,8.511,6.991,3.343,3.951,2.736,6.383,2.736,6.383,8.511,3.04,3.647,8.207
Negative_924,0,2.743,8.978,1.496,3.491,3.491,1.247,2.993,4.738,0.998,4.239,7.731,5.736,8.229,13.217
Negative_921,0,2.574,3.676,3.309,3.309,4.044,2.206,8.824,8.456,2.574,5.882,6.618,5.515,4.412,7.721
Negative_263,0,4.494,7.865,4.494,2.247,2.809,1.685,5.056,11.236,4.494,3.933,6.18,2.809,2.809,13.483
Positive_46,1,3.195,5.639,5.263,7.143,3.008,4.135,3.195,7.707,4.323,4.887,7.143,3.195,5.451,9.774
Negative_1219,0,4.0,6.5,1.5,4.0,6.0,0.5,3.0,4.0,1.0,5.0,6.5,5.0,8.0,17.0
Positive_1028,1,0.64,6.397,3.838,6.397,7.036,4.691,7.676,4.478,4.691,5.33,6.183,4.904,5.117,6.823
Positive_705,1,0.769,5.577,5.0,5.385,5.385,2.885,2.308,13.077,3.654,6.154,5.577,4.615,8.462,7.885
Positive_359,1,1.202,6.142,4.673,6.542,6.542,2.804,6.809,8.411,5.073,7.877,6.676,2.403,4.139,8.545
Positive_770,1,0.262,4.462,7.349,5.512,2.887,3.675,3.412,2.362,2.887,10.236,7.087,4.199,5.774,8.924
Positive_960,1,1.97,3.99,7.879,6.061,4.596,2.929,7.121,7.071,4.747,7.273,6.515,2.727,4.848,9.646
Negative_1304,0,4.323,7.781,2.882,4.899,6.052,0.865,3.17,7.781,2.882,8.646,5.764,5.476,4.035,9.222
Negative_820,0,2.985,5.757,3.412,4.051,3.412,2.985,4.904,8.529,2.559,2.985,7.676,2.345,4.904,13.646
Positive_739,1,2.348,4.501,5.675,4.501,6.654,4.11,5.871,6.262,8.219,3.718,7.045,2.74,5.479,5.479
Negative_185,0,0.615,15.385,3.385,1.231,2.769,1.538,1.231,11.077,5.846,3.385,3.385,3.385,5.231,10.154
Positive_909,1,2.278,7.973,2.961,5.695,6.15,2.733,2.961,14.351,4.1,8.428,5.467,5.467,5.923,8.428
Positive_383,1,3.858,3.561,7.418,7.418,2.967,4.451,8.012,7.715,4.451,2.077,10.089,2.671,3.264,10.386
Negative_520,0,0.919,9.342,1.531,1.991,5.054,3.216,3.982,6.432,3.063,3.522,7.351,4.288,8.116,12.557
Positive_1097,1,0.449,3.293,5.539,13.174,9.132,3.593,2.994,5.539,4.192,6.138,7.036,4.491,1.647,7.335
Negative_55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,12.5,0.0,25.0
Negative_307,0,7.299,16.058,0.73,2.92,2.92,0.73,2.19,13.869,0.0,2.19,5.109,2.92,7.299,10.949
Positive_647,1,2.26,6.356,3.39,3.955,5.508,5.65,3.531,5.367,3.39,9.887,5.085,3.249,8.051,10.876
Positive_637,1,2.996,5.993,2.996,2.247,5.993,2.996,5.993,7.865,2.247,5.243,5.993,3.745,9.363,10.112
Positive_1078,1,2.17,7.679,4.174,4.174,4.007,4.508,6.511,5.509,3.172,6.01,5.342,4.508,5.509,12.354
Negative_479,0,3.306,5.51,1.928,1.928,2.755,1.928,3.857,7.163,1.653,1.653,7.438,3.581,8.54,16.804
Negative_950,0,3.681,6.748,2.454,6.748,2.454,0.613,5.521,4.294,0.613,9.202,7.975,6.748,9.202,10.429
Positive_885,1,1.031,6.979,5.065,4.417,5.948,2.297,3.651,10.542,2.385,10.895,6.743,3.651,2.945,6.037
Positive_603,1,1.014,4.73,6.419,5.068,7.77,2.365,5.405,6.757,4.054,5.405,6.419,3.041,6.757,8.108
Negative_1262,0,0.403,17.339,6.855,2.016,0.806,2.823,6.855,11.694,3.629,2.016,3.629,4.032,5.242,10.081
Positive_498,1,3.175,4.535,4.535,7.483,3.855,2.948,4.989,6.349,3.855,8.617,4.989,4.989,5.215,10.431
Negative_620,0,2.304,8.168,3.77,4.293,4.712,3.665,2.827,7.33,4.712,4.921,8.586,5.236,6.492,9.215
Negative_110,0,2.373,6.441,0.0,2.034,1.695,2.373,5.763,7.797,1.695,3.729,6.102,3.729,4.407,16.61
Negative_700,0,1.543,7.854,3.015,3.576,3.857,1.543,4.418,8.485,2.174,5.891,8.976,5.961,6.662,10.94
Positive_393,1,2.248,4.301,8.113,5.474,5.67,2.346,4.399,5.67,4.106,6.549,7.331,3.617,4.497,9.384
Positive_1188,1,2.778,6.944,1.667,2.778,5.278,5.833,4.167,4.167,3.056,6.944,8.056,5.0,7.778,11.389
Positive_113,1,1.22,4.878,7.143,3.484,4.355,1.568,2.962,6.794,2.439,6.62,9.93,4.007,7.666,8.362
Negative_836,0,7.143,5.952,1.19,11.905,2.381,2.381,3.571,7.143,1.19,4.762,8.333,4.762,5.952,9.524
Positive_77,1,3.271,6.075,6.308,4.439,2.103,3.037,5.607,10.28,5.14,3.738,6.075,3.037,5.374,12.383
Negative_393,0,9.286,3.571,2.857,7.143,1.429,1.429,1.429,10.0,2.857,4.286,10.0,5.0,6.429,6.429
Positive_951,1,3.107,3.55,5.769,8.728,5.917,2.959,6.805,5.473,4.29,7.249,5.325,3.846,4.882,8.432
Negative_505,0,2.88,8.64,2.56,4.48,3.68,1.92,3.84,5.44,2.72,7.36,8.0,4.64,7.2,9.76
Positive_679,1,2.051,5.897,6.41,4.615,4.103,4.103,3.333,5.641,2.564,5.641,5.128,5.385,6.41,12.051
Negative_839,0,10.811,6.306,4.505,5.405,4.505,1.802,0.0,14.414,1.802,1.802,6.306,4.505,1.802,11.712
Negative_173,0,2.933,8.0,1.067,2.4,4.267,0.533,2.667,7.733,4.0,5.333,7.467,3.733,5.867,16.533
Positive_229,1,1.675,4.545,5.024,7.177,4.545,1.675,3.589,6.938,1.196,5.742,5.742,4.785,6.22,13.397
Positive_950,1,2.981,5.514,4.769,8.793,6.855,2.832,6.557,5.365,3.726,7.303,6.259,3.726,4.769,7.004
Positive_1106,1,2.148,4.057,5.967,5.012,5.012,2.864,5.251,5.489,3.819,8.592,6.921,3.819,5.489,9.308
Negative_410,0,2.732,11.475,2.732,2.004,2.186,2.186,2.732,6.375,1.093,5.282,5.829,6.557,10.2,16.758
Negative_695,0,1.923,14.423,0.481,1.442,7.212,1.442,0.481,4.808,0.481,18.75,2.885,3.365,7.212,9.615
Negative_1106,0,3.058,5.576,7.014,2.338,2.518,2.878,6.475,5.576,2.698,4.317,8.273,2.518,6.475,12.95
Positive_441,1,1.25,6.667,4.167,6.667,6.25,2.917,4.583,2.5,1.25,5.417,7.5,5.417,5.0,15.0
Negative_834,0,2.52,6.829,1.463,5.122,3.821,2.114,3.008,5.854,1.545,6.341,7.886,7.398,7.642,13.008
Positive_144,1,2.252,4.73,4.955,8.559,6.081,3.378,6.532,7.432,4.279,7.883,5.631,3.153,4.955,10.36
Positive_611,1,3.465,2.97,3.465,7.921,4.455,2.475,3.465,3.465,3.96,7.921,5.446,5.941,2.97,10.891
Negative_52,0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,10.0
Positive_195,1,2.213,4.288,6.086,8.437,5.256,3.596,5.256,5.118,4.149,9.82,4.703,4.011,5.533,8.16
Negative_1089,0,4.204,6.607,3.303,4.505,2.703,3.904,3.303,12.312,2.402,4.505,3.303,2.703,5.706,9.009
Negative_645,0,3.63,4.62,6.271,3.63,2.97,4.29,4.62,8.581,3.3,3.96,7.261,3.96,4.29,11.881
Negative_683,0,1.031,7.216,3.093,3.093,5.155,5.155,0.0,8.247,4.124,7.216,2.062,1.031,9.278,16.495
Positive_965,1,0.826,7.025,3.926,4.959,6.818,2.893,2.273,11.157,2.893,7.645,6.198,6.405,7.438,8.884
Positive_283,1,1.082,4.762,6.061,6.71,4.113,3.68,5.844,8.442,5.411,4.545,6.494,2.165,4.329,8.009
Negative_488,0,3.019,6.038,5.66,6.415,3.396,3.396,3.019,8.679,3.396,7.925,4.528,4.151,2.642,12.075
Negative_1102,0,4.969,3.727,3.106,5.59,4.969,1.242,6.211,8.075,3.106,8.075,5.59,4.969,4.969,16.149
Negative_609,0,2.878,8.393,2.398,1.439,6.235,7.914,2.158,6.954,4.077,3.118,4.796,5.755,8.873,6.235
Negative_1196,0,2.927,11.22,1.951,5.366,2.927,0.0,4.39,11.707,1.951,1.951,3.415,3.902,15.61,5.854
Negative_796,0,2.53,6.071,3.879,4.216,3.204,4.216,4.722,6.745,2.867,6.071,7.083,2.361,5.734,10.961
Negative_95,0,1.307,7.843,0.654,2.614,5.229,1.307,3.922,11.111,3.922,5.882,4.575,3.268,8.497,14.379
Negative_603,0,7.068,4.962,5.371,3.523,8.7,3.545,3.673,7.282,6.316,5.306,5.585,3.545,5.263,6.165
Negative_1008,0,2.965,7.008,3.235,1.078,2.695,1.887,3.774,9.434,1.617,2.965,8.086,2.426,7.817,13.208
Negative_435,0,2.247,10.112,4.494,3.371,7.865,1.124,2.247,8.427,0.562,3.933,3.933,6.18,6.18,10.112
Positive_683,1,1.955,5.714,5.113,6.165,6.316,3.459,5.414,6.015,3.158,7.368,8.571,2.857,4.962,10.226
Positive_47,1,3.214,6.238,4.159,3.214,5.671,4.348,5.86,9.641,5.104,5.104,3.214,4.348,5.104,10.397
Positive_1061,1,0.365,4.745,6.934,8.759,4.38,3.65,6.204,6.204,3.285,6.204,5.109,4.38,3.285,9.124
Positive_964,1,1.981,4.998,6.979,4.638,4.142,2.656,5.853,7.159,4.863,6.664,6.123,3.692,5.493,10.221
Positive_878,1,0.323,5.161,4.194,6.774,3.871,2.903,3.226,7.419,5.806,2.581,7.097,3.226,4.839,10.0
Negative_446,0,3.791,5.687,3.791,6.161,8.531,2.37,3.318,6.161,4.265,4.265,5.213,2.844,10.9,9.953
Positive_1123,1,1.934,3.867,6.906,9.392,5.801,2.486,5.801,4.42,4.144,8.011,5.249,4.42,3.315,7.459
Negative_1101,0,0.958,8.429,1.916,4.023,3.64,1.341,1.533,8.812,1.916,8.621,7.854,4.023,7.088,9.962
Positive_921,1,0.913,4.11,4.566,1.826,5.936,4.566,2.74,6.393,1.826,6.393,8.676,2.283,5.936,8.219
Positive_272,1,2.114,4.651,7.188,6.342,3.805,3.171,4.017,5.708,3.171,9.302,6.765,4.017,4.863,11.416
Negative_1289,0,6.202,6.977,2.326,1.55,3.101,0.0,3.876,7.752,0.0,3.876,3.876,1.55,10.853,17.054
Positive_420,1,3.03,5.303,3.788,7.955,5.303,4.545,4.167,9.091,2.652,7.576,6.439,3.788,3.409,13.258
Positive_463,1,2.178,4.257,5.743,6.832,4.356,1.386,3.663,6.04,2.871,6.733,8.317,4.059,3.366,10.198
Negative_354,0,2.355,7.002,3.501,4.392,4.647,2.482,2.546,7.766,1.973,4.965,9.484,3.437,5.856,11.076
Positive_860,1,0.122,3.038,8.141,7.29,7.169,3.524,3.645,6.075,4.86,8.262,7.533,3.281,6.197,8.505
Positive_151,1,1.652,4.0,6.261,4.783,3.739,2.783,4.696,7.913,4.261,6.0,7.304,2.696,4.522,10.957
Positive_747,1,2.308,3.846,5.0,6.538,4.231,4.615,4.615,7.692,5.0,10.769,4.615,5.0,4.615,10.385
Negative_850,0,2.316,5.263,5.053,2.316,2.947,3.789,6.316,11.158,2.947,3.158,8.421,1.895,4.211,14.737
Positive_735,1,1.535,5.882,7.161,6.394,4.604,3.836,4.859,6.394,4.348,7.673,6.138,5.882,4.348,13.299
Negative_179,0,3.32,6.639,2.075,2.905,5.809,1.245,1.66,8.299,1.66,8.299,6.639,4.979,5.394,11.618
Positive_403,1,2.215,6.329,5.696,7.911,4.747,3.481,3.481,5.38,4.747,7.278,7.911,4.114,3.481,10.759
Negative_1171,0,2.278,12.073,2.278,2.506,3.872,2.05,2.961,8.656,2.05,5.467,3.189,4.784,9.567,9.795
Positive_1220,1,2.165,4.221,2.814,4.113,5.087,1.19,4.113,8.225,3.139,9.632,6.494,3.355,8.766,10.606
Positive_662,1,1.744,5.233,5.233,7.558,5.814,2.326,5.233,6.977,3.488,10.465,4.651,1.744,3.488,10.465
Negative_1167,0,1.998,7.991,5.875,4.818,3.995,2.233,4.583,9.401,4.935,7.051,7.168,3.878,3.173,8.578
Positive_52,1,7.059,4.706,1.176,5.882,5.098,2.353,2.745,7.059,4.706,4.706,3.922,4.314,4.314,10.588
Negative_1099,0,0.743,7.727,2.08,3.12,6.389,1.189,2.08,16.345,4.903,4.16,3.269,5.795,4.606,9.51
