id,label,_NormalizedVDWVC1,_PolarityC2,_NormalizedVDWVT23,_HydrophobicityC2,_NormalizedVDWVC3,_ChargeC3,_ChargeD2001,_SolventAccessibilityD3001,_HydrophobicityD3001,_PolarityD1001,_HydrophobicityT13,_SecondaryStrD1001,_SecondaryStrC2,_PolarizabilityC3,_SolventAccessibilityC3,_PolarizabilityT13,_PolarizabilityD3001,_NormalizedVDWVC2,_PolarityT13,_NormalizedVDWVD3001,_PolarizabilityC2,_PolarityD3001,_ChargeT23,_SecondaryStrD2001,_ChargeC2,_SolventAccessibilityC2,_SecondaryStrT12,_PolarizabilityD2001,_SolventAccessibilityT12,_SolventAccessibilityD2001,_ChargeT13,_SecondaryStrC3,_SolventAccessibilityD1001,_NormalizedVDWVD1001,_HydrophobicityC1,_NormalizedVDWVD2001,_PolarityC1,_SecondaryStrT13,_SecondaryStrT23,_PolarityC3,_HydrophobicityD2001,_HydrophobicityD1001,_PolarizabilityC1,_ChargeD1075,_HydrophobicityC3,_SolventAccessibilityT13,_ChargeD3001,_SecondaryStrD3001,_PolarityD2001,_PolarityT23,_ChargeD1050,_SecondaryStrD1075,_SolventAccessibilityC1,_PolarizabilityD1001,_ChargeT12,_SecondaryStrC1,_ChargeD1025,_ChargeD3100,_PolarityD1025,_ChargeC1,_SecondaryStrD2075,_PolarityT12,_ChargeD3075,_PolarizabilityT23,_SecondaryStrD2025,_NormalizedVDWVD3050,_ChargeD3050,_SecondaryStrD3050,_ChargeD3025,_NormalizedVDWVD3025,_HydrophobicityT12,_PolarityD1050,_SolventAccessibilityD2075,_PolarizabilityD3075,_PolarizabilityD1050,_SolventAccessibilityD1025,_SolventAccessibilityT23,_SolventAccessibilityD1075,_PolarityD2050,_PolarityD1075,_PolarizabilityT12,_ChargeD1001,_PolarizabilityD3050,_HydrophobicityD3025,_SecondaryStrD2050,_ChargeD2075,_SecondaryStrD3025,_PolarizabilityD3025,_SecondaryStrD3075,_SolventAccessibilityD3025,_PolarizabilityD2075,_NormalizedVDWVD1075,_NormalizedVDWVD2050,_SecondaryStrD1050,_PolarityD3075,_PolarityD2025,_PolarizabilityD2050,_HydrophobicityT23,_NormalizedVDWVD3075,_HydrophobicityD3075,_PolarizabilityD2025,_HydrophobicityD3050
Negative_394,0,0.464,0.426,0.135,0.466,0.164,0.086,0.27,0.27,0.27,0.27,0.162,0.27,0.137,0.164,0.216,0.114,0.27,0.372,0.192,0.27,0.482,4.852,0.143,5.93,0.836,0.253,0.181,2.156,0.257,4.852,0.024,0.248,0.539,0.539,0.253,2.156,0.294,0.243,0.059,0.28,0.539,4.852,0.353,55.526,0.28,0.211,4.852,1.887,0.539,0.203,27.493,74.394,0.531,0.539,0.116,0.615,10.512,97.574,25.876,0.078,80.863,0.203,83.288,0.154,20.485,41.24,52.83,60.377,24.798,15.633,0.2,51.752,78.167,73.585,43.935,22.372,0.105,70.081,49.865,77.358,0.286,6.739,41.24,26.146,54.717,74.394,27.763,15.633,71.159,46.9,77.358,68.194,52.022,45.553,79.784,25.067,56.065,0.205,73.585,77.628,29.111,52.022
Negative_527,0,0.39,0.258,0.19,0.314,0.214,0.157,0.629,0.629,0.629,0.629,0.215,0.629,0.365,0.214,0.252,0.095,0.629,0.396,0.253,0.629,0.497,1.258,0.209,4.403,0.723,0.358,0.316,1.887,0.241,1.258,0.025,0.264,3.145,5.66,0.358,1.887,0.365,0.196,0.127,0.377,2.516,1.258,0.289,51.572,0.327,0.177,15.094,1.887,5.66,0.184,28.931,67.925,0.39,5.66,0.203,0.371,16.981,100.0,18.239,0.119,77.987,0.158,72.956,0.253,25.157,38.365,55.975,48.428,31.447,11.95,0.196,45.283,65.409,58.491,64.151,13.836,0.171,71.069,61.006,71.698,0.304,1.258,38.365,17.61,53.459,76.73,32.075,11.95,72.327,45.912,69.182,79.874,40.252,41.509,65.409,32.075,44.025,0.184,58.491,66.038,23.27,39.623
Positive_1123,1,0.373,0.296,0.172,0.348,0.265,0.138,0.276,0.276,0.276,0.276,0.177,0.276,0.282,0.265,0.21,0.144,0.276,0.362,0.208,0.276,0.42,1.381,0.197,4.144,0.735,0.351,0.255,1.381,0.249,1.381,0.053,0.235,0.552,0.552,0.351,1.381,0.326,0.238,0.127,0.378,0.552,1.381,0.315,72.652,0.301,0.199,1.381,2.21,0.552,0.216,45.58,71.547,0.439,0.552,0.158,0.483,19.613,99.448,25.414,0.127,77.901,0.188,71.823,0.211,30.11,48.066,46.409,51.381,16.575,24.309,0.222,50.552,72.928,71.547,53.867,25.967,0.15,76.796,53.315,72.099,0.277,2.486,48.066,25.414,54.972,75.138,22.376,24.309,78.453,27.072,72.099,80.387,48.343,45.58,72.652,27.901,48.343,0.202,71.547,74.033,23.204,50.829
Negative_680,0,0.654,0.513,0.052,0.526,0.192,0.128,1.282,1.282,1.282,1.282,0.143,1.282,0.128,0.192,0.192,0.182,1.282,0.154,0.156,1.282,0.282,2.564,0.156,3.846,0.731,0.308,0.117,3.846,0.312,2.564,0.013,0.487,3.846,2.564,0.308,7.692,0.167,0.312,0.091,0.321,6.41,2.564,0.526,65.385,0.167,0.234,2.564,2.564,6.41,0.273,56.41,60.256,0.5,2.564,0.195,0.385,41.026,100.0,5.128,0.141,42.308,0.117,28.205,0.065,5.128,52.564,19.231,66.667,7.692,41.026,0.26,21.795,60.256,60.256,53.846,32.051,0.091,82.051,70.513,42.308,0.351,14.103,52.564,5.128,20.513,78.205,25.641,41.026,80.769,12.821,58.974,80.769,26.923,48.718,57.692,37.179,26.923,0.13,60.256,42.308,11.538,21.795
Positive_180,1,0.392,0.324,0.192,0.389,0.266,0.105,0.111,0.111,0.111,0.111,0.184,0.111,0.287,0.266,0.275,0.175,0.111,0.342,0.227,0.111,0.417,0.664,0.161,0.443,0.782,0.295,0.246,0.443,0.253,0.664,0.033,0.254,0.221,0.221,0.295,0.443,0.349,0.225,0.157,0.327,0.221,0.664,0.317,70.764,0.317,0.264,2.658,0.332,0.221,0.211,47.73,76.966,0.431,0.221,0.173,0.46,17.165,100.0,23.699,0.113,72.757,0.248,72.536,0.218,23.256,47.951,48.948,50.72,24.585,18.826,0.218,50.831,75.194,69.767,47.065,26.8,0.15,76.301,48.726,75.305,0.272,0.775,47.951,25.138,49.723,75.969,25.471,18.826,73.09,26.246,79.181,73.2,52.492,49.169,74.64,28.461,52.602,0.276,69.767,76.966,26.578,51.606
Negative_983,0,0.467,0.304,0.138,0.34,0.185,0.154,0.104,0.104,0.104,0.104,0.223,0.104,0.284,0.185,0.214,0.117,0.104,0.348,0.249,0.104,0.457,0.52,0.243,0.937,0.758,0.365,0.2,0.208,0.319,0.52,0.024,0.379,0.208,0.312,0.365,0.208,0.318,0.22,0.21,0.378,0.312,0.52,0.358,71.176,0.294,0.175,3.33,0.416,0.312,0.235,43.288,75.234,0.42,0.312,0.145,0.337,18.522,99.896,20.812,0.088,80.229,0.188,73.465,0.172,30.177,47.763,59.625,55.567,45.786,19.875,0.253,45.682,73.881,84.495,55.671,22.06,0.157,74.506,45.057,76.691,0.306,0.52,47.763,20.499,48.907,75.65,32.362,19.875,70.968,23.725,71.904,70.76,47.867,40.271,73.985,25.806,45.578,0.197,84.495,75.65,23.933,45.161
Negative_424,0,0.409,0.349,0.137,0.379,0.183,0.081,0.426,0.426,0.426,0.426,0.192,0.426,0.247,0.183,0.298,0.098,0.426,0.409,0.218,0.426,0.545,11.915,0.132,0.851,0.834,0.255,0.248,1.277,0.197,11.915,0.013,0.268,1.277,0.851,0.255,1.277,0.379,0.179,0.145,0.272,0.851,11.915,0.272,73.191,0.366,0.214,12.34,2.553,0.851,0.154,51.489,79.149,0.447,0.851,0.141,0.485,36.17,99.574,22.128,0.085,63.83,0.222,65.957,0.184,21.702,45.106,35.745,49.787,21.277,23.83,0.167,45.532,67.66,64.681,38.723,24.681,0.162,77.021,53.191,71.915,0.269,18.723,45.106,22.553,45.957,75.745,17.021,23.83,72.766,16.17,78.723,75.319,52.34,52.766,68.511,17.872,55.745,0.239,64.681,74.043,28.936,47.234
Negative_1298,0,0.368,0.304,0.185,0.399,0.267,0.067,0.307,0.307,0.307,0.307,0.117,0.307,0.347,0.267,0.285,0.154,0.307,0.365,0.154,0.307,0.448,2.147,0.126,0.613,0.856,0.184,0.292,3.374,0.172,2.147,0.009,0.218,0.613,0.92,0.184,3.374,0.488,0.194,0.132,0.209,0.92,2.147,0.285,80.368,0.417,0.314,3.067,0.92,0.92,0.157,57.362,76.687,0.531,0.92,0.114,0.436,16.564,98.466,27.914,0.077,71.779,0.28,77.914,0.222,28.834,49.693,43.558,45.706,20.245,26.687,0.16,53.067,79.141,71.166,44.479,25.767,0.105,73.313,46.319,73.006,0.265,2.147,49.693,27.914,50.92,73.62,20.552,26.687,76.38,29.141,75.46,71.472,55.215,50.307,80.368,19.939,52.454,0.348,71.166,73.926,25.46,53.374
Negative_1051,0,0.4,0.329,0.158,0.435,0.289,0.08,0.235,0.235,0.235,0.235,0.182,0.235,0.254,0.289,0.379,0.139,0.235,0.311,0.238,0.235,0.464,0.471,0.134,2.588,0.784,0.325,0.215,0.471,0.217,0.471,0.021,0.325,1.412,1.176,0.325,0.471,0.285,0.259,0.156,0.386,1.176,0.471,0.247,59.294,0.24,0.245,1.882,0.471,1.176,0.196,32.0,73.412,0.296,1.412,0.172,0.421,13.882,90.824,18.353,0.136,71.529,0.2,60.706,0.219,19.059,39.765,41.176,60.235,12.0,18.588,0.238,39.294,71.059,72.941,58.118,18.118,0.203,66.588,62.353,66.353,0.243,0.706,39.765,18.353,42.353,76.0,36.471,18.588,78.353,38.118,72.0,76.471,47.059,44.706,72.941,37.412,50.118,0.208,72.941,64.941,26.824,40.235
Positive_960,1,0.341,0.275,0.205,0.318,0.271,0.119,0.051,0.051,0.051,0.051,0.204,0.051,0.325,0.271,0.233,0.153,0.051,0.388,0.225,0.051,0.447,0.202,0.174,0.707,0.772,0.303,0.246,0.253,0.263,0.202,0.02,0.264,0.101,0.101,0.303,0.253,0.409,0.207,0.158,0.316,0.101,0.202,0.281,75.707,0.38,0.211,0.606,0.404,0.101,0.179,50.657,75.354,0.464,0.101,0.158,0.411,25.152,99.848,27.424,0.109,76.515,0.222,74.646,0.236,27.374,50.808,52.475,46.212,25.657,25.96,0.194,51.01,75.0,75.657,48.03,25.758,0.134,74.545,44.141,75.96,0.246,0.202,50.808,28.03,53.889,74.596,24.293,25.96,72.525,23.182,74.899,73.788,51.263,49.293,75.0,22.879,50.556,0.232,75.657,76.465,25.404,50.909
Positive_113,1,0.413,0.357,0.15,0.39,0.202,0.11,0.174,0.174,0.174,0.174,0.208,0.174,0.277,0.202,0.213,0.148,0.174,0.385,0.227,0.174,0.446,0.697,0.188,0.523,0.779,0.286,0.255,0.523,0.307,0.697,0.017,0.272,0.523,0.348,0.286,0.523,0.34,0.239,0.157,0.303,0.348,0.697,0.352,78.223,0.324,0.209,0.871,0.348,0.348,0.234,55.923,75.61,0.502,0.348,0.185,0.451,28.397,95.819,26.655,0.111,79.268,0.225,69.686,0.175,30.488,55.226,48.955,44.077,27.178,24.564,0.243,50.0,73.345,77.003,49.652,27.003,0.143,76.307,48.606,76.132,0.318,2.265,55.226,27.003,51.22,74.913,24.913,24.564,68.467,20.906,72.822,74.913,46.341,52.439,73.345,22.997,46.864,0.23,77.003,75.261,26.307,50.174
Negative_373,0,0.45,0.389,0.135,0.43,0.275,0.067,0.671,0.671,0.671,0.671,0.155,0.671,0.195,0.275,0.255,0.189,0.671,0.275,0.176,0.671,0.396,2.013,0.128,2.685,0.758,0.336,0.176,2.685,0.277,2.013,0.007,0.322,1.342,1.342,0.336,2.685,0.255,0.291,0.128,0.356,1.342,2.013,0.329,63.758,0.235,0.189,16.107,1.342,1.342,0.284,44.966,73.154,0.409,1.342,0.236,0.483,11.409,98.658,25.503,0.174,79.866,0.162,74.497,0.189,36.242,44.966,59.732,42.282,28.188,19.463,0.291,52.349,73.826,63.758,43.624,25.503,0.169,79.195,42.953,80.537,0.257,2.013,44.966,25.503,57.718,77.181,18.121,19.463,64.43,18.792,82.55,67.114,68.456,51.678,73.154,22.819,55.705,0.142,63.758,84.564,24.161,52.349
Positive_1070,1,0.428,0.345,0.157,0.403,0.214,0.137,0.103,0.103,0.103,0.103,0.184,0.103,0.239,0.214,0.257,0.15,0.103,0.358,0.231,0.103,0.421,0.31,0.204,0.723,0.767,0.312,0.201,0.31,0.249,0.31,0.028,0.314,0.207,0.207,0.312,0.31,0.312,0.247,0.142,0.343,0.207,0.31,0.365,65.702,0.285,0.223,0.31,0.413,0.207,0.212,37.397,75.103,0.431,0.207,0.14,0.447,21.178,99.69,22.624,0.096,72.624,0.195,77.996,0.182,22.624,41.736,51.446,47.107,28.719,21.178,0.221,52.273,75.31,66.736,51.136,25.207,0.156,73.347,49.07,72.934,0.276,1.033,41.736,22.727,43.182,74.793,27.273,21.178,76.86,24.07,76.24,76.033,54.959,54.442,73.244,26.756,52.479,0.217,66.736,72.934,22.727,53.822
Negative_999,0,0.459,0.412,0.155,0.435,0.212,0.082,1.176,1.176,1.176,1.176,0.202,1.176,0.329,0.212,0.294,0.095,1.176,0.329,0.214,1.176,0.424,3.529,0.119,4.706,0.8,0.247,0.274,4.706,0.25,3.529,0.024,0.306,4.706,2.353,0.247,4.706,0.329,0.19,0.238,0.259,2.353,3.529,0.365,81.176,0.318,0.286,15.294,2.353,2.353,0.19,40.0,74.118,0.459,2.353,0.214,0.365,8.235,94.118,21.176,0.118,67.059,0.286,62.353,0.202,23.529,40.0,44.706,61.176,15.294,8.235,0.202,41.176,76.471,78.824,52.941,34.118,0.155,75.294,50.588,77.647,0.31,3.529,40.0,18.824,47.059,72.941,20.0,8.235,75.294,14.118,76.471,70.588,57.647,44.706,81.176,25.882,50.588,0.274,78.824,77.647,27.059,41.176
Negative_121,0,0.353,0.338,0.239,0.397,0.309,0.015,1.471,1.471,1.471,1.471,0.179,1.471,0.279,0.309,0.485,0.06,1.471,0.338,0.269,1.471,0.515,4.412,0.03,8.824,0.882,0.235,0.194,2.941,0.119,4.412,0.0,0.294,5.882,2.941,0.235,4.412,0.397,0.299,0.164,0.265,2.941,4.412,0.176,72.059,0.368,0.269,76.471,2.941,2.941,0.209,63.235,66.176,0.279,8.824,0.209,0.426,39.706,76.471,19.118,0.103,69.118,0.254,76.471,0.373,13.235,58.824,76.471,57.353,76.471,30.882,0.239,33.824,72.059,69.118,35.294,19.118,0.299,75.0,52.941,64.706,0.254,39.706,58.824,19.118,30.882,73.529,44.118,30.882,77.941,20.588,73.529,82.353,36.765,42.647,72.059,16.176,44.118,0.284,69.118,61.765,22.059,32.353
Negative_493,0,0.434,0.425,0.114,0.462,0.245,0.057,0.943,0.943,0.943,0.943,0.095,0.943,0.292,0.245,0.33,0.171,0.943,0.321,0.114,0.943,0.443,9.434,0.086,2.83,0.821,0.236,0.238,3.774,0.124,9.434,0.029,0.274,1.887,1.887,0.236,6.604,0.33,0.21,0.162,0.245,1.887,9.434,0.311,69.811,0.302,0.276,9.434,3.774,1.887,0.229,39.623,79.245,0.434,1.887,0.2,0.434,33.962,42.453,22.642,0.123,63.208,0.333,31.132,0.143,19.811,58.491,20.755,30.189,9.434,33.019,0.248,50.0,68.868,73.585,57.547,26.415,0.219,82.075,51.887,74.528,0.305,16.038,58.491,22.642,45.283,76.415,15.094,33.019,62.264,15.094,66.981,76.415,45.283,60.377,68.868,17.925,37.736,0.333,73.585,78.302,16.981,50.0
Negative_1125,0,0.521,0.406,0.091,0.43,0.17,0.073,0.606,0.606,0.606,0.606,0.171,0.606,0.285,0.17,0.333,0.116,0.606,0.309,0.183,0.606,0.515,1.212,0.104,2.424,0.83,0.23,0.207,1.212,0.195,1.212,0.03,0.352,2.424,3.636,0.23,1.212,0.358,0.256,0.195,0.236,3.636,1.212,0.315,69.697,0.339,0.256,1.212,3.636,3.636,0.177,50.303,67.273,0.436,3.636,0.152,0.364,18.182,96.364,17.576,0.097,61.818,0.311,79.394,0.159,28.485,47.879,51.515,70.303,23.636,15.758,0.189,39.394,75.152,69.091,62.424,21.818,0.165,63.636,59.394,60.606,0.311,13.333,47.879,17.576,41.212,73.333,35.758,15.758,85.455,30.909,67.879,80.606,40.0,40.0,75.758,29.091,45.455,0.299,69.091,60.606,24.848,39.394
Negative_565,0,0.633,0.556,0.011,0.767,0.333,0.0,1.111,1.111,1.111,1.111,0.022,1.111,0.356,0.333,0.356,0.506,1.111,0.033,0.045,1.111,0.122,3.333,0.0,4.444,0.967,0.044,0.034,12.222,0.045,37.778,0.0,0.567,5.556,2.222,0.044,12.222,0.389,0.09,0.584,0.056,2.222,37.778,0.544,38.889,0.189,0.472,0.0,2.222,2.222,0.045,37.778,37.778,0.6,2.222,0.045,0.078,85.556,0.0,20.0,0.033,78.889,0.629,0.0,0.056,27.778,51.111,0.0,52.222,0.0,20.0,0.045,45.556,85.556,75.556,50.0,24.444,0.022,72.222,52.222,75.556,0.169,37.778,51.111,20.0,51.111,74.444,24.444,20.0,73.333,14.444,83.333,72.222,12.222,12.222,38.889,24.444,32.222,0.303,75.556,65.556,16.667,35.556
Negative_230,0,0.448,0.379,0.144,0.426,0.227,0.099,0.214,0.214,0.214,0.214,0.144,0.214,0.233,0.227,0.289,0.127,0.214,0.325,0.176,0.214,0.473,0.428,0.146,1.071,0.79,0.283,0.193,0.428,0.223,0.428,0.034,0.293,1.285,0.642,0.283,0.428,0.308,0.232,0.15,0.313,0.642,0.428,0.3,86.51,0.291,0.27,0.428,0.642,0.642,0.212,49.465,75.375,0.428,0.642,0.165,0.473,28.908,96.146,24.839,0.111,69.807,0.242,74.518,0.191,24.411,48.608,54.818,50.535,25.696,21.199,0.227,47.537,82.869,80.728,44.54,21.627,0.148,67.024,46.253,68.094,0.277,1.713,48.608,25.482,49.036,72.591,22.912,21.199,74.732,22.698,74.518,72.163,50.749,49.465,82.441,18.415,53.319,0.258,80.728,68.094,29.122,49.036
Positive_598,1,0.452,0.371,0.14,0.431,0.224,0.123,0.175,1.401,0.701,0.701,0.16,0.175,0.259,0.224,0.242,0.184,1.226,0.324,0.196,1.226,0.368,0.35,0.193,1.226,0.771,0.305,0.223,0.525,0.268,0.35,0.032,0.317,0.175,0.175,0.305,0.525,0.292,0.274,0.167,0.336,0.175,0.35,0.408,75.482,0.264,0.218,0.35,0.35,0.175,0.247,55.692,73.38,0.454,0.175,0.158,0.424,34.676,98.599,26.97,0.107,74.431,0.214,70.578,0.163,23.117,50.788,40.105,49.737,17.688,26.445,0.246,51.489,74.081,74.781,48.687,28.021,0.137,75.657,50.438,75.131,0.302,8.932,50.788,26.97,51.138,74.956,25.919,26.445,75.306,16.112,75.131,73.905,51.489,49.037,73.905,25.219,49.387,0.233,74.781,73.73,22.767,50.613
Positive_424,1,0.379,0.336,0.18,0.383,0.213,0.073,0.187,0.187,0.187,0.187,0.124,0.187,0.363,0.213,0.236,0.116,0.187,0.407,0.144,0.187,0.488,0.374,0.11,2.056,0.864,0.202,0.215,0.374,0.167,0.374,0.017,0.267,0.748,0.748,0.202,0.374,0.452,0.187,0.197,0.211,0.748,0.374,0.299,77.009,0.415,0.245,0.374,0.748,0.748,0.137,49.159,76.449,0.563,0.748,0.096,0.37,19.065,98.692,28.224,0.064,74.579,0.315,89.907,0.227,26.542,54.393,47.85,45.981,17.757,30.28,0.157,51.963,83.178,77.009,44.299,22.991,0.114,70.467,45.981,74.579,0.292,1.121,54.393,28.224,51.776,73.645,18.131,30.28,72.71,28.411,77.757,70.093,49.346,50.093,79.065,19.252,50.28,0.339,77.009,74.393,27.477,51.589
Positive_437,1,0.275,0.23,0.244,0.293,0.279,0.122,0.45,0.45,0.45,0.45,0.253,0.45,0.27,0.279,0.225,0.113,0.45,0.446,0.299,0.45,0.509,1.802,0.167,4.054,0.752,0.342,0.271,2.252,0.308,1.802,0.032,0.23,0.901,0.901,0.342,3.153,0.401,0.204,0.118,0.369,0.901,1.802,0.212,84.234,0.365,0.19,7.658,2.252,0.901,0.19,50.901,68.919,0.432,0.901,0.195,0.5,19.369,94.595,27.027,0.126,81.081,0.167,61.712,0.299,30.631,42.793,41.892,51.802,16.216,19.369,0.208,48.649,72.973,66.216,44.144,24.775,0.154,72.072,56.306,72.523,0.204,1.802,42.793,27.027,58.559,74.324,25.225,19.369,79.279,25.676,75.676,77.477,50.45,45.045,68.468,16.667,53.153,0.213,66.216,72.072,26.577,48.649
Negative_58,0,0.556,0.333,0.0,0.333,0.0,0.222,11.111,33.333,11.111,11.111,0.125,22.222,0.222,0.0,0.333,0.0,0.0,0.444,0.125,0.0,0.667,66.667,0.25,11.111,0.778,0.333,0.25,11.111,0.125,66.667,0.0,0.556,11.111,33.333,0.333,11.111,0.333,0.25,0.0,0.333,33.333,66.667,0.333,0.0,0.333,0.125,66.667,33.333,33.333,0.125,0.0,22.222,0.333,33.333,0.0,0.222,0.0,77.778,100.0,0.0,11.111,0.125,66.667,0.0,100.0,0.0,66.667,44.444,77.778,0.0,0.125,11.111,77.778,0.0,33.333,100.0,0.125,22.222,33.333,22.222,0.5,0.0,0.0,100.0,11.111,55.556,33.333,0.0,55.556,55.556,55.556,55.556,22.222,22.222,77.778,55.556,44.444,0.125,0.0,22.222,11.111,11.111
Positive_675,1,0.326,0.266,0.233,0.329,0.29,0.051,0.302,0.302,0.302,0.302,0.152,0.302,0.408,0.29,0.287,0.13,0.302,0.384,0.191,0.302,0.456,1.511,0.067,0.604,0.852,0.215,0.288,0.604,0.167,1.511,0.024,0.211,0.604,0.906,0.215,0.604,0.508,0.179,0.155,0.227,0.906,1.511,0.254,87.915,0.456,0.279,2.417,1.511,0.906,0.124,57.704,75.227,0.498,0.906,0.145,0.381,38.369,99.396,24.169,0.097,70.997,0.264,50.151,0.285,21.148,52.568,35.65,51.057,20.544,24.471,0.145,51.964,79.154,76.737,46.224,26.284,0.13,72.205,46.224,73.716,0.239,6.647,52.568,23.263,45.015,74.924,22.961,24.471,80.06,22.356,72.508,73.716,54.079,52.266,78.852,25.076,51.964,0.309,76.737,73.414,22.961,52.266
Negative_11,0,0.457,0.394,0.118,0.457,0.245,0.074,1.064,1.064,1.064,1.064,0.075,1.064,0.298,0.245,0.309,0.151,1.064,0.298,0.14,1.064,0.404,3.191,0.129,2.128,0.84,0.16,0.301,2.128,0.118,3.191,0.0,0.298,2.128,7.447,0.16,2.128,0.404,0.161,0.226,0.202,7.447,3.191,0.351,69.149,0.383,0.28,12.766,8.511,7.447,0.14,6.383,69.149,0.532,7.447,0.086,0.404,4.255,85.106,27.66,0.085,75.532,0.29,64.894,0.161,24.468,40.426,32.979,46.809,12.766,6.383,0.14,53.191,69.149,70.213,34.043,27.66,0.097,75.532,45.745,74.468,0.215,3.191,40.426,36.17,53.191,75.532,22.34,6.383,73.404,23.404,74.468,75.532,53.191,44.681,69.149,22.34,56.383,0.333,70.213,74.468,37.234,53.191
Negative_998,0,0.308,0.176,0.2,0.22,0.22,0.319,1.099,1.099,1.099,1.099,0.267,1.099,0.198,0.22,0.187,0.156,1.099,0.473,0.289,1.099,0.549,4.396,0.267,12.088,0.56,0.495,0.211,3.297,0.3,4.396,0.067,0.187,2.198,2.198,0.495,3.297,0.286,0.167,0.078,0.538,2.198,4.396,0.231,65.934,0.286,0.144,4.396,2.198,2.198,0.189,51.648,71.429,0.319,2.198,0.167,0.615,37.363,86.813,29.67,0.121,74.725,0.1,59.341,0.222,35.165,65.934,27.473,31.868,19.78,46.154,0.167,54.945,65.934,85.714,50.549,32.967,0.133,81.319,35.165,79.121,0.222,8.791,65.934,29.67,58.242,81.319,15.385,46.154,67.033,14.286,62.637,72.527,39.56,46.154,71.429,15.385,41.758,0.122,85.714,79.121,23.077,54.945
Negative_1265,0,0.431,0.392,0.125,0.418,0.307,0.092,0.654,0.654,0.654,0.654,0.125,0.654,0.111,0.307,0.235,0.184,0.654,0.261,0.145,0.654,0.386,1.961,0.112,2.614,0.68,0.379,0.138,1.961,0.243,1.961,0.046,0.294,1.307,1.307,0.379,1.961,0.216,0.401,0.059,0.392,1.307,1.961,0.307,78.431,0.203,0.184,12.418,1.307,1.307,0.303,51.634,74.51,0.386,1.307,0.296,0.595,16.993,91.503,23.529,0.229,43.137,0.132,70.588,0.23,18.954,35.294,57.516,48.366,16.34,15.686,0.322,41.83,73.856,73.856,45.752,30.719,0.204,73.203,50.327,64.052,0.211,5.229,35.294,23.529,29.412,74.51,26.797,15.686,72.549,15.686,79.085,75.163,55.556,52.941,73.856,28.105,58.824,0.125,73.856,64.706,32.026,41.83
Positive_461,1,0.393,0.339,0.157,0.388,0.25,0.107,0.446,0.446,0.446,0.446,0.17,0.446,0.348,0.25,0.277,0.202,0.446,0.357,0.197,0.446,0.42,0.893,0.193,2.679,0.804,0.259,0.229,0.893,0.238,0.893,0.013,0.304,1.786,2.679,0.259,0.893,0.388,0.224,0.211,0.272,4.911,0.893,0.33,61.161,0.353,0.265,0.893,5.357,4.911,0.215,33.929,69.196,0.464,4.911,0.13,0.348,18.304,95.982,23.661,0.089,71.429,0.274,73.661,0.197,25.893,38.839,53.125,58.482,34.821,20.536,0.215,46.429,77.232,63.839,48.214,25.446,0.148,75.893,49.107,76.339,0.265,1.339,38.839,22.768,47.768,75.893,31.696,20.536,78.125,19.196,79.464,71.875,55.804,45.089,75.0,23.214,55.357,0.265,63.839,76.339,27.232,47.768
Positive_981,1,0.42,0.371,0.157,0.424,0.257,0.102,0.176,0.176,0.176,0.176,0.185,0.176,0.264,0.257,0.329,0.144,0.176,0.323,0.213,0.176,0.411,1.23,0.165,0.879,0.772,0.29,0.202,0.879,0.231,1.23,0.016,0.329,0.351,0.351,0.29,0.879,0.315,0.231,0.153,0.315,0.351,1.23,0.332,70.65,0.286,0.213,1.23,0.351,0.351,0.204,43.058,75.044,0.381,0.351,0.192,0.408,16.872,100.0,40.598,0.127,81.195,0.194,81.722,0.199,36.028,47.276,60.105,34.095,34.974,21.265,0.232,60.808,78.559,70.475,40.07,35.325,0.187,79.438,36.204,79.438,0.282,1.582,47.276,40.598,59.578,74.517,15.466,21.265,64.851,19.332,80.844,65.554,65.026,53.251,77.68,17.75,59.93,0.211,70.475,79.613,33.04,61.336
Positive_321,1,0.384,0.331,0.19,0.404,0.277,0.112,0.133,0.133,0.133,0.133,0.195,0.133,0.291,0.277,0.271,0.186,0.133,0.339,0.246,0.133,0.405,0.4,0.187,0.267,0.781,0.296,0.24,0.4,0.264,0.4,0.021,0.317,0.267,1.067,0.296,0.4,0.352,0.23,0.192,0.317,0.8,0.4,0.317,76.133,0.3,0.215,0.933,0.4,1.067,0.208,54.267,76.533,0.433,1.067,0.171,0.392,28.0,99.733,23.867,0.107,76.0,0.234,78.133,0.222,24.667,54.267,56.667,44.8,24.533,25.733,0.24,50.933,75.067,76.4,50.533,24.0,0.171,73.067,48.0,76.8,0.254,2.133,54.267,22.533,50.933,74.0,26.0,25.733,69.2,26.267,73.467,72.933,47.867,52.933,75.067,27.467,46.933,0.236,76.4,76.8,21.333,50.8
